,Load_2029
2029-10-20 00:00:00+02:00,44252.3
2029-10-20 01:00:00+02:00,42154.6
2029-10-20 02:00:00+02:00,40848.4
2029-10-20 03:00:00+02:00,40704.3
2029-10-20 04:00:00+02:00,41172.1
2029-10-20 05:00:00+02:00,41581.0
2029-10-20 06:00:00+02:00,43069.3
2029-10-20 07:00:00+02:00,45967.8
2029-10-20 08:00:00+02:00,49194.2
2029-10-20 09:00:00+02:00,51656.3
2029-10-20 10:00:00+02:00,53070.3
2029-10-20 11:00:00+02:00,53800.3
2029-10-20 12:00:00+02:00,53445.9
2029-10-20 13:00:00+02:00,51885.5
2029-10-20 14:00:00+02:00,50317.2
2029-10-20 15:00:00+02:00,49456.4
2029-10-20 16:00:00+02:00,48867.6
2029-10-20 17:00:00+02:00,50007.8
2029-10-20 18:00:00+02:00,52994.6
2029-10-20 19:00:00+02:00,54502.6
2029-10-20 20:00:00+02:00,50748.3
2029-10-20 21:00:00+02:00,48150.5
2029-10-20 22:00:00+02:00,46740.7
2029-10-20 23:00:00+02:00,44127.9
