,Load_2029
2029-12-09 00:00:00+01:00,44972.4
2029-12-09 01:00:00+01:00,42675.1
2029-12-09 02:00:00+01:00,41446.9
2029-12-09 03:00:00+01:00,41178.3
2029-12-09 04:00:00+01:00,41327.8
2029-12-09 05:00:00+01:00,41032.0
2029-12-09 06:00:00+01:00,40824.3
2029-12-09 07:00:00+01:00,42840.3
2029-12-09 08:00:00+01:00,45529.7
2029-12-09 09:00:00+01:00,49290.7
2029-12-09 10:00:00+01:00,51683.7
2029-12-09 11:00:00+01:00,54395.3
2029-12-09 12:00:00+01:00,54337.8
2029-12-09 13:00:00+01:00,52833.5
2029-12-09 14:00:00+01:00,51834.7
2029-12-09 15:00:00+01:00,51720.2
2029-12-09 16:00:00+01:00,53650.1
2029-12-09 17:00:00+01:00,57151.7
2029-12-09 18:00:00+01:00,58231.7
2029-12-09 19:00:00+01:00,57280.4
2029-12-09 20:00:00+01:00,55268.7
2029-12-09 21:00:00+01:00,53988.9
2029-12-09 22:00:00+01:00,54300.5
2029-12-09 23:00:00+01:00,51473.5
