,Load_2029
2029-03-23 00:00:00+01:00,49623.3
2029-03-23 01:00:00+01:00,47665.3
2029-03-23 02:00:00+01:00,46300.0
2029-03-23 03:00:00+01:00,46392.2
2029-03-23 04:00:00+01:00,47481.3
2029-03-23 05:00:00+01:00,50403.2
2029-03-23 06:00:00+01:00,56226.4
2029-03-23 07:00:00+01:00,60817.8
2029-03-23 08:00:00+01:00,63378.3
2029-03-23 09:00:00+01:00,63836.9
2029-03-23 10:00:00+01:00,65669.4
2029-03-23 11:00:00+01:00,66923.0
2029-03-23 12:00:00+01:00,66441.9
2029-03-23 13:00:00+01:00,65216.8
2029-03-23 14:00:00+01:00,62911.3
2029-03-23 15:00:00+01:00,61414.3
2029-03-23 16:00:00+01:00,60579.8
2029-03-23 17:00:00+01:00,60770.6
2029-03-23 18:00:00+01:00,62771.3
2029-03-23 19:00:00+01:00,64331.1
2029-03-23 20:00:00+01:00,60622.7
2029-03-23 21:00:00+01:00,57398.9
2029-03-23 22:00:00+01:00,55211.3
2029-03-23 23:00:00+01:00,52014.0
