,Load_2026
2026-06-19 00:00:00+02:00,44626.7
2026-06-19 01:00:00+02:00,42809.4
2026-06-19 02:00:00+02:00,41711.9
2026-06-19 03:00:00+02:00,41412.8
2026-06-19 04:00:00+02:00,42056.0
2026-06-19 05:00:00+02:00,44733.1
2026-06-19 06:00:00+02:00,51444.8
2026-06-19 07:00:00+02:00,56663.4
2026-06-19 08:00:00+02:00,60447.7
2026-06-19 09:00:00+02:00,61833.7
2026-06-19 10:00:00+02:00,62664.1
2026-06-19 11:00:00+02:00,63929.4
2026-06-19 12:00:00+02:00,63662.9
2026-06-19 13:00:00+02:00,63023.4
2026-06-19 14:00:00+02:00,61468.6
2026-06-19 15:00:00+02:00,60011.3
2026-06-19 16:00:00+02:00,59161.7
2026-06-19 17:00:00+02:00,58524.2
2026-06-19 18:00:00+02:00,57805.0
2026-06-19 19:00:00+02:00,56013.6
2026-06-19 20:00:00+02:00,53640.7
2026-06-19 21:00:00+02:00,51218.6
2026-06-19 22:00:00+02:00,49955.3
2026-06-19 23:00:00+02:00,46505.1
