,Load_2024
2024-02-28 00:00:00+01:00,50933.4
2024-02-28 01:00:00+01:00,49084.3
2024-02-28 02:00:00+01:00,48161.1
2024-02-28 03:00:00+01:00,48066.4
2024-02-28 04:00:00+01:00,49244.5
2024-02-28 05:00:00+01:00,51800.2
2024-02-28 06:00:00+01:00,58689.3
2024-02-28 07:00:00+01:00,63913.3
2024-02-28 08:00:00+01:00,65669.7
2024-02-28 09:00:00+01:00,65738.4
2024-02-28 10:00:00+01:00,66450.8
2024-02-28 11:00:00+01:00,67142.3
2024-02-28 12:00:00+01:00,66679.7
2024-02-28 13:00:00+01:00,66114.9
2024-02-28 14:00:00+01:00,64705.6
2024-02-28 15:00:00+01:00,63935.8
2024-02-28 16:00:00+01:00,62631.7
2024-02-28 17:00:00+01:00,63399.3
2024-02-28 18:00:00+01:00,67218.1
2024-02-28 19:00:00+01:00,66423.4
2024-02-28 20:00:00+01:00,62267.0
2024-02-28 21:00:00+01:00,59638.3
2024-02-28 22:00:00+01:00,57565.4
2024-02-28 23:00:00+01:00,53651.6
