,Load_2020
2020-01-22 00:00:00+01:00,51816.7
2020-01-22 01:00:00+01:00,49811.3
2020-01-22 02:00:00+01:00,48791.7
2020-01-22 03:00:00+01:00,48640.0
2020-01-22 04:00:00+01:00,49414.7
2020-01-22 05:00:00+01:00,52121.7
2020-01-22 06:00:00+01:00,58446.0
2020-01-22 07:00:00+01:00,64329.3
2020-01-22 08:00:00+01:00,66847.7
2020-01-22 09:00:00+01:00,66939.0
2020-01-22 10:00:00+01:00,66153.7
2020-01-22 11:00:00+01:00,67986.7
2020-01-22 12:00:00+01:00,67240.0
2020-01-22 13:00:00+01:00,66731.0
2020-01-22 14:00:00+01:00,65754.0
2020-01-22 15:00:00+01:00,65025.0
2020-01-22 16:00:00+01:00,65218.7
2020-01-22 17:00:00+01:00,68332.7
2020-01-22 18:00:00+01:00,68788.3
2020-01-22 19:00:00+01:00,67351.0
2020-01-22 20:00:00+01:00,62945.7
2020-01-22 21:00:00+01:00,60627.3
2020-01-22 22:00:00+01:00,58836.3
2020-01-22 23:00:00+01:00,55349.7
