,Load_2020
2020-06-10 00:00:00+02:00,44275.2
2020-06-10 01:00:00+02:00,42761.7
2020-06-10 02:00:00+02:00,41795.7
2020-06-10 03:00:00+02:00,42217.9
2020-06-10 04:00:00+02:00,42847.1
2020-06-10 05:00:00+02:00,45084.6
2020-06-10 06:00:00+02:00,51944.5
2020-06-10 07:00:00+02:00,58109.0
2020-06-10 08:00:00+02:00,60301.3
2020-06-10 09:00:00+02:00,61808.5
2020-06-10 10:00:00+02:00,62852.6
2020-06-10 11:00:00+02:00,63400.6
2020-06-10 12:00:00+02:00,63402.3
2020-06-10 13:00:00+02:00,63365.2
2020-06-10 14:00:00+02:00,62139.3
2020-06-10 15:00:00+02:00,61225.7
2020-06-10 16:00:00+02:00,59564.7
2020-06-10 17:00:00+02:00,58922.2
2020-06-10 18:00:00+02:00,58510.2
2020-06-10 19:00:00+02:00,58274.8
2020-06-10 20:00:00+02:00,56006.8
2020-06-10 21:00:00+02:00,53737.6
2020-06-10 22:00:00+02:00,51691.8
2020-06-10 23:00:00+02:00,47580.9
