,Load_2020
2020-07-26 00:00:00+02:00,39688.8
2020-07-26 01:00:00+02:00,38013.6
2020-07-26 02:00:00+02:00,37276.5
2020-07-26 03:00:00+02:00,36892.4
2020-07-26 04:00:00+02:00,36967.6
2020-07-26 05:00:00+02:00,36870.7
2020-07-26 06:00:00+02:00,37240.7
2020-07-26 07:00:00+02:00,38954.8
2020-07-26 08:00:00+02:00,41530.0
2020-07-26 09:00:00+02:00,43922.4
2020-07-26 10:00:00+02:00,45780.6
2020-07-26 11:00:00+02:00,47646.0
2020-07-26 12:00:00+02:00,47528.3
2020-07-26 13:00:00+02:00,46158.7
2020-07-26 14:00:00+02:00,45065.3
2020-07-26 15:00:00+02:00,44501.0
2020-07-26 16:00:00+02:00,43970.4
2020-07-26 17:00:00+02:00,44738.8
2020-07-26 18:00:00+02:00,45591.5
2020-07-26 19:00:00+02:00,45940.3
2020-07-26 20:00:00+02:00,45520.6
2020-07-26 21:00:00+02:00,45216.0
2020-07-26 22:00:00+02:00,45172.2
2020-07-26 23:00:00+02:00,42238.3
