,Load_2020
2020-02-03 00:00:00+01:00,47778.2
2020-02-03 01:00:00+01:00,46398.2
2020-02-03 02:00:00+01:00,45568.2
2020-02-03 03:00:00+01:00,45521.0
2020-02-03 04:00:00+01:00,46795.5
2020-02-03 05:00:00+01:00,49848.4
2020-02-03 06:00:00+01:00,57699.6
2020-02-03 07:00:00+01:00,65215.6
2020-02-03 08:00:00+01:00,67589.6
2020-02-03 09:00:00+01:00,68534.0
2020-02-03 10:00:00+01:00,69247.1
2020-02-03 11:00:00+01:00,70193.6
2020-02-03 12:00:00+01:00,69793.0
2020-02-03 13:00:00+01:00,69145.4
2020-02-03 14:00:00+01:00,68118.8
2020-02-03 15:00:00+01:00,66956.7
2020-02-03 16:00:00+01:00,66088.2
2020-02-03 17:00:00+01:00,68233.3
2020-02-03 18:00:00+01:00,70176.4
2020-02-03 19:00:00+01:00,68169.1
2020-02-03 20:00:00+01:00,64491.5
2020-02-03 21:00:00+01:00,61355.4
2020-02-03 22:00:00+01:00,59146.7
2020-02-03 23:00:00+01:00,55163.5
