,Load_2021
2021-12-15 00:00:00+01:00,50153.7
2021-12-15 01:00:00+01:00,48052.6
2021-12-15 02:00:00+01:00,47147.7
2021-12-15 03:00:00+01:00,47413.0
2021-12-15 04:00:00+01:00,48538.7
2021-12-15 05:00:00+01:00,51375.6
2021-12-15 06:00:00+01:00,58746.7
2021-12-15 07:00:00+01:00,65755.2
2021-12-15 08:00:00+01:00,68066.5
2021-12-15 09:00:00+01:00,67542.8
2021-12-15 10:00:00+01:00,68009.7
2021-12-15 11:00:00+01:00,67829.8
2021-12-15 12:00:00+01:00,68329.0
2021-12-15 13:00:00+01:00,67847.1
2021-12-15 14:00:00+01:00,66853.6
2021-12-15 15:00:00+01:00,66618.6
2021-12-15 16:00:00+01:00,67867.7
2021-12-15 17:00:00+01:00,69542.7
2021-12-15 18:00:00+01:00,68593.6
2021-12-15 19:00:00+01:00,66201.6
2021-12-15 20:00:00+01:00,62371.2
2021-12-15 21:00:00+01:00,59135.6
2021-12-15 22:00:00+01:00,56124.7
2021-12-15 23:00:00+01:00,52206.5
