,Load_2021
2021-03-13 00:00:00+01:00,48178.9
2021-03-13 01:00:00+01:00,46026.6
2021-03-13 02:00:00+01:00,44856.2
2021-03-13 03:00:00+01:00,44659.3
2021-03-13 04:00:00+01:00,44934.3
2021-03-13 05:00:00+01:00,45196.2
2021-03-13 06:00:00+01:00,45817.7
2021-03-13 07:00:00+01:00,48544.3
2021-03-13 08:00:00+01:00,52253.7
2021-03-13 09:00:00+01:00,55325.4
2021-03-13 10:00:00+01:00,56970.6
2021-03-13 11:00:00+01:00,57401.3
2021-03-13 12:00:00+01:00,56809.3
2021-03-13 13:00:00+01:00,55173.8
2021-03-13 14:00:00+01:00,53399.3
2021-03-13 15:00:00+01:00,52281.9
2021-03-13 16:00:00+01:00,51859.3
2021-03-13 17:00:00+01:00,53125.2
2021-03-13 18:00:00+01:00,56308.8
2021-03-13 19:00:00+01:00,56416.8
2021-03-13 20:00:00+01:00,52868.5
2021-03-13 21:00:00+01:00,50477.3
2021-03-13 22:00:00+01:00,49655.1
2021-03-13 23:00:00+01:00,46629.4
