,Load_2021
2021-03-26 00:00:00+01:00,48909.7
2021-03-26 01:00:00+01:00,47066.3
2021-03-26 02:00:00+01:00,46317.4
2021-03-26 03:00:00+01:00,46616.0
2021-03-26 04:00:00+01:00,47689.8
2021-03-26 05:00:00+01:00,50450.3
2021-03-26 06:00:00+01:00,56004.3
2021-03-26 07:00:00+01:00,60869.1
2021-03-26 08:00:00+01:00,62791.4
2021-03-26 09:00:00+01:00,63627.3
2021-03-26 10:00:00+01:00,65063.3
2021-03-26 11:00:00+01:00,66221.0
2021-03-26 12:00:00+01:00,65266.6
2021-03-26 13:00:00+01:00,64121.3
2021-03-26 14:00:00+01:00,62747.4
2021-03-26 15:00:00+01:00,61427.7
2021-03-26 16:00:00+01:00,60110.8
2021-03-26 17:00:00+01:00,60123.7
2021-03-26 18:00:00+01:00,61449.7
2021-03-26 19:00:00+01:00,63325.8
2021-03-26 20:00:00+01:00,60118.3
2021-03-26 21:00:00+01:00,56673.7
2021-03-26 22:00:00+01:00,54902.3
2021-03-26 23:00:00+01:00,51512.4
