,Load_2021
2021-05-02 00:00:00+02:00,39870.9
2021-05-02 01:00:00+02:00,37972.7
2021-05-02 02:00:00+02:00,36967.1
2021-05-02 03:00:00+02:00,36819.2
2021-05-02 04:00:00+02:00,37037.0
2021-05-02 05:00:00+02:00,37084.7
2021-05-02 06:00:00+02:00,36716.6
2021-05-02 07:00:00+02:00,38174.4
2021-05-02 08:00:00+02:00,41228.7
2021-05-02 09:00:00+02:00,44021.9
2021-05-02 10:00:00+02:00,45840.0
2021-05-02 11:00:00+02:00,48004.8
2021-05-02 12:00:00+02:00,48300.3
2021-05-02 13:00:00+02:00,46861.3
2021-05-02 14:00:00+02:00,45563.3
2021-05-02 15:00:00+02:00,44932.7
2021-05-02 16:00:00+02:00,44793.3
2021-05-02 17:00:00+02:00,45630.0
2021-05-02 18:00:00+02:00,47354.5
2021-05-02 19:00:00+02:00,47611.2
2021-05-02 20:00:00+02:00,47754.0
2021-05-02 21:00:00+02:00,48134.6
2021-05-02 22:00:00+02:00,47341.6
2021-05-02 23:00:00+02:00,43448.8
