,Load_2023
2023-06-03 00:00:00+02:00,41507.8
2023-06-03 01:00:00+02:00,39518.3
2023-06-03 02:00:00+02:00,38880.3
2023-06-03 03:00:00+02:00,38515.6
2023-06-03 04:00:00+02:00,38691.9
2023-06-03 05:00:00+02:00,38731.9
2023-06-03 06:00:00+02:00,40032.7
2023-06-03 07:00:00+02:00,42800.7
2023-06-03 08:00:00+02:00,46775.7
2023-06-03 09:00:00+02:00,50174.3
2023-06-03 10:00:00+02:00,52077.3
2023-06-03 11:00:00+02:00,52731.2
2023-06-03 12:00:00+02:00,52177.7
2023-06-03 13:00:00+02:00,51558.0
2023-06-03 14:00:00+02:00,50098.1
2023-06-03 15:00:00+02:00,49015.5
2023-06-03 16:00:00+02:00,48096.8
2023-06-03 17:00:00+02:00,48162.4
2023-06-03 18:00:00+02:00,48193.3
2023-06-03 19:00:00+02:00,47680.2
2023-06-03 20:00:00+02:00,45522.3
2023-06-03 21:00:00+02:00,44376.1
2023-06-03 22:00:00+02:00,44232.3
2023-06-03 23:00:00+02:00,41305.6
