,coal,gas,lignite,oil,other,pumped-storage,run-of-the-river,seasonal-store,uranium,Solar_Post,Wind_Post,Solar_Ante,Wind_Ante,Load Ahead,Load,Import,Export
2013-03-23 00:00:00+01:00,2887.8,1503.3,17926.3,211.0,147.3,178.1,399.2,39.0,12004.9,0.0,16600.7,0.0,13937.6,51305.0,50842.0,745.0,8502.0
2013-03-23 01:00:00+01:00,2431.5,1499.8,17591.5,211.0,147.2,65.3,402.7,18.6,11991.4,0.0,16467.9,0.0,13931.6,49833.0,48631.0,1092.0,9037.0
2013-03-23 02:00:00+01:00,2374.4,1527.1,16986.3,211.0,147.2,53.9,400.3,25.6,11736.8,0.0,16341.2,0.0,13920.5,48276.0,46910.0,1218.0,9039.0
2013-03-23 03:00:00+01:00,2390.4,1540.9,16984.6,214.0,146.8,67.7,398.3,32.0,11551.0,0.0,16587.3,0.0,13944.4,48151.0,46640.0,1162.0,9539.0
2013-03-23 04:00:00+01:00,2408.2,1533.8,17241.5,211.0,146.5,109.2,395.0,39.6,11576.2,0.0,16302.0,0.0,14000.7,47904.0,46602.0,1044.0,9606.0
2013-03-23 05:00:00+01:00,2413.1,1551.1,17301.3,208.0,140.2,118.9,389.1,20.2,11499.1,0.0,16529.9,1.3,14190.0,47356.0,46714.0,964.0,9801.0
2013-03-23 06:00:00+01:00,2416.0,1598.9,16969.0,209.0,141.3,147.7,385.7,11.0,11157.8,102.9,16172.1,110.6,14455.2,46637.0,46627.0,1150.0,9657.0
2013-03-23 07:00:00+01:00,2430.1,1616.3,16982.4,210.0,147.2,154.3,385.1,12.4,11194.8,1475.4,16535.4,963.0,14934.4,48587.0,48817.0,1065.0,9652.0
2013-03-23 08:00:00+01:00,2431.5,1631.6,17377.7,210.0,148.2,144.7,378.2,6.2,11209.3,4327.6,17353.8,2802.6,15678.2,52594.0,53044.0,1072.0,9990.0
2013-03-23 09:00:00+01:00,2341.8,1639.2,17265.2,209.0,149.3,98.6,362.1,14.6,11259.7,7518.2,18510.5,5111.4,16429.2,55964.0,57467.0,893.0,10289.0
2013-03-23 10:00:00+01:00,2329.6,1632.3,16163.5,208.0,150.2,119.6,367.2,14.0,11149.9,10198.3,19556.1,7355.8,16994.5,58963.0,59647.0,779.0,10072.0
2013-03-23 11:00:00+01:00,2323.0,1621.6,16161.9,211.0,149.2,451.2,392.5,77.6,10984.6,11947.2,19137.8,8836.5,17293.8,60563.0,60349.0,736.0,10442.0
2013-03-23 12:00:00+01:00,2304.9,1600.5,15323.1,211.0,150.3,541.2,396.1,51.2,10817.9,12349.0,18362.7,8991.2,17549.3,60618.0,59590.0,562.0,10592.0
2013-03-23 13:00:00+01:00,2311.5,1591.1,15072.2,212.0,149.1,444.7,397.2,35.0,10728.8,12007.0,18419.1,8230.8,17699.0,58916.0,58736.0,634.0,10788.0
2013-03-23 14:00:00+01:00,2321.5,1583.1,15025.1,212.0,147.1,498.7,396.8,30.0,10689.8,10179.0,18295.2,6738.7,17858.6,57462.0,57220.0,791.0,10809.0
2013-03-23 15:00:00+01:00,2313.2,1635.5,15380.1,213.0,148.0,1059.5,395.8,8.4,10834.0,7550.4,18427.6,4585.5,17930.2,56673.0,56535.0,999.0,10366.0
2013-03-23 16:00:00+01:00,2310.3,1882.7,16193.5,211.0,148.9,609.2,393.5,33.6,11129.3,4354.0,18805.6,2578.2,17798.6,55319.0,55881.0,1238.0,10153.0
2013-03-23 17:00:00+01:00,2438.4,2181.1,16904.5,209.0,145.0,2002.4,392.9,46.8,11745.2,1559.4,18280.9,997.1,17410.7,56601.0,56527.0,1292.0,9947.0
2013-03-23 18:00:00+01:00,3001.6,2183.7,17115.4,211.0,146.0,3343.4,391.4,114.4,12058.6,160.8,17904.0,167.4,16869.4,58741.0,57606.0,1260.0,9343.0
2013-03-23 19:00:00+01:00,3101.1,2184.7,17400.4,212.0,148.1,3358.5,392.9,130.4,12054.5,0.0,17782.2,1.4,16417.0,59051.0,59021.0,988.0,8272.0
2013-03-23 20:00:00+01:00,2771.0,1990.6,17347.8,212.0,149.0,2095.3,391.9,60.0,11979.1,0.0,18239.9,0.0,16012.2,55056.0,56063.0,968.0,9408.0
2013-03-23 21:00:00+01:00,2531.7,1937.4,17244.5,211.0,149.2,1282.4,389.9,18.8,11964.8,0.0,18588.8,0.0,15587.0,52844.0,54514.0,924.0,9710.0
2013-03-23 22:00:00+01:00,2461.8,1631.3,17189.5,211.0,148.5,1487.7,388.3,32.4,11809.0,0.0,17230.3,0.0,14992.4,53280.0,54221.0,767.0,8970.0
2013-03-23 23:00:00+01:00,2398.0,1580.5,17366.2,213.0,148.4,963.9,385.1,22.6,11692.1,0.0,15964.8,0.0,14223.3,51098.0,51084.0,519.0,9030.0
