,coal,gas,lignite,oil,other,pumped-storage,run-of-the-river,seasonal-store,uranium,Solar_Post,Wind_Post,Solar_Ante,Wind_Ante,Load Ahead,Load,Import,Export
2013-03-06 00:00:00+01:00,12466.8,1505.3,18098.1,189.0,171.3,80.1,419.6,21.0,12112.8,0.0,3095.2,0.0,2859.8,49656.0,49044.0,391.0,8995.0
2013-03-06 01:00:00+01:00,12379.6,1493.6,17976.8,189.0,170.5,61.7,407.4,19.0,12112.0,0.0,2790.3,0.0,2505.8,48084.0,47615.0,620.0,9061.0
2013-03-06 02:00:00+01:00,12225.0,1486.5,18160.4,189.0,170.9,49.7,407.5,17.0,12113.9,0.0,2665.0,0.0,2151.2,47563.0,46846.0,769.0,9503.0
2013-03-06 03:00:00+01:00,11883.8,1495.2,18263.6,189.0,170.3,85.5,407.7,22.0,12119.6,0.0,2486.5,0.0,1840.0,47696.0,47300.0,1014.0,8993.0
2013-03-06 04:00:00+01:00,11831.8,1536.6,18457.0,187.0,171.2,69.8,405.8,20.8,12124.3,0.0,2245.0,0.0,1641.6,48231.0,47996.0,985.0,8562.0
2013-03-06 05:00:00+01:00,12129.8,1599.0,18704.2,272.6,170.2,265.9,404.4,24.2,12125.9,0.0,2115.6,0.0,1579.2,50246.0,50164.0,959.0,7790.0
2013-03-06 06:00:00+01:00,12971.2,1780.9,18858.1,471.7,171.1,1130.5,400.4,108.4,12123.0,9.2,2113.8,54.8,1549.0,56369.0,56965.0,2670.0,6759.0
2013-03-06 07:00:00+01:00,13595.7,1783.0,18842.6,783.1,168.6,1324.3,400.7,56.7,12115.3,1241.1,2093.2,945.1,1466.9,61590.0,61386.0,2675.0,5149.0
2013-03-06 08:00:00+01:00,13380.6,1867.6,18687.1,774.4,174.1,673.1,403.0,105.2,12111.0,5561.1,2021.8,4163.3,1288.6,63964.0,62401.0,2508.0,6139.0
2013-03-06 09:00:00+01:00,12839.6,1757.7,18824.8,459.0,176.7,416.2,394.1,16.6,12116.8,10392.0,1636.9,8302.7,1083.2,64929.0,62696.0,2243.0,7885.0
2013-03-06 10:00:00+01:00,12540.9,1674.8,18829.6,328.2,173.1,655.2,386.9,37.2,12105.1,14208.2,1399.2,12127.4,831.4,65979.0,63623.0,1073.0,9294.0
2013-03-06 11:00:00+01:00,12826.9,1725.4,18843.0,333.8,167.3,662.7,384.6,74.0,12089.5,16784.1,1346.7,14780.7,667.3,66591.0,64620.0,255.0,10310.0
2013-03-06 12:00:00+01:00,12986.1,1756.2,18797.2,322.2,168.3,313.5,381.9,62.3,12075.7,17540.4,1387.6,15336.9,557.4,65902.0,64282.0,224.0,11115.0
2013-03-06 13:00:00+01:00,13034.8,1571.5,18795.0,344.7,165.9,311.0,378.0,167.6,12057.0,16447.6,1353.0,14100.8,553.2,65107.0,63890.0,245.0,10705.0
2013-03-06 14:00:00+01:00,12920.9,1525.6,18807.1,413.6,167.0,465.5,383.4,228.8,12047.0,13535.0,1332.0,11708.2,661.4,64301.0,62170.0,467.0,9883.0
2013-03-06 15:00:00+01:00,13046.9,1361.0,18706.3,409.9,170.1,481.9,394.0,200.2,12038.1,9729.4,1434.8,8190.2,803.9,63580.0,60687.0,1849.0,9058.0
2013-03-06 16:00:00+01:00,13161.3,1457.9,18657.8,520.6,171.9,507.6,392.8,100.2,12031.5,5302.4,1814.1,4434.0,1084.4,62177.0,59144.0,2976.0,7916.0
2013-03-06 17:00:00+01:00,12926.7,1759.1,18820.3,629.5,180.1,1054.2,389.8,96.8,12036.2,1326.2,2650.9,1127.5,1593.3,62872.0,60727.0,3399.0,6229.0
2013-03-06 18:00:00+01:00,13376.7,2128.7,18848.3,727.2,169.7,2481.7,397.4,216.0,12036.8,37.1,4275.1,33.6,2238.0,65976.0,64570.0,3599.0,5388.0
2013-03-06 19:00:00+01:00,13438.8,2137.9,18732.3,726.3,169.6,2136.9,405.3,206.9,12042.6,0.0,5808.0,0.0,2901.0,65340.0,65205.0,3088.0,5607.0
2013-03-06 20:00:00+01:00,12888.8,1554.2,18855.4,522.2,176.0,522.0,411.8,133.6,12044.7,0.0,6999.3,0.0,3384.7,61222.0,61445.0,3094.0,6648.0
2013-03-06 21:00:00+01:00,11524.5,1437.6,18728.0,379.4,213.4,473.6,422.4,67.2,12049.9,0.0,7528.9,0.0,3658.8,58918.0,58466.0,2830.0,8074.0
2013-03-06 22:00:00+01:00,10032.7,1405.4,18526.3,436.5,214.7,549.5,432.9,73.9,12039.0,0.0,7561.4,0.0,3750.2,57102.0,55925.0,1932.0,8483.0
2013-03-06 23:00:00+01:00,8175.7,1401.3,18447.4,349.6,206.4,585.7,444.4,61.4,12014.0,0.0,7661.6,0.0,3803.6,52944.0,52311.0,733.0,8989.0
