,coal,gas,lignite,oil,other,pumped-storage,run-of-the-river,seasonal-store,uranium,Solar_Post,Wind_Post,Solar_Ante,Wind_Ante,Load Ahead,Load,Import,Export
2013-09-25 00:00:00+02:00,10382.9,899.5,17696.1,152.0,204.8,95.3,646.8,24.4,9394.2,0.0,962.0,0.0,929.5,41964.0,41409.0,883.0,7550.0
2013-09-25 01:00:00+02:00,9845.1,874.5,17690.6,150.0,206.7,42.9,642.0,19.6,9401.9,0.0,980.2,0.0,922.3,40578.0,40516.0,1389.0,7572.0
2013-09-25 02:00:00+02:00,8928.2,874.5,17644.9,150.0,206.7,22.8,638.2,39.1,9402.1,0.0,1094.3,0.0,926.0,39915.0,39956.0,1700.0,7084.0
2013-09-25 03:00:00+02:00,8183.5,907.7,17643.9,150.0,206.8,42.4,638.2,36.1,9410.5,0.0,1143.5,0.0,988.2,40508.0,40524.0,2213.0,6643.0
2013-09-25 04:00:00+02:00,8874.3,910.7,17699.4,150.0,206.6,36.4,638.9,66.7,9415.3,0.0,1148.8,0.0,1100.8,41580.0,41671.0,2517.0,6496.0
2013-09-25 05:00:00+02:00,10084.8,1239.9,17815.1,275.1,207.6,112.7,638.9,116.2,9412.7,0.0,1194.6,0.0,1132.6,44050.0,44738.0,2002.0,6119.0
2013-09-25 06:00:00+02:00,10615.2,1942.9,17966.4,427.4,205.7,1422.4,641.7,333.9,9425.7,2.7,1249.6,10.8,1104.2,51288.0,52349.0,2236.0,3267.0
2013-09-25 07:00:00+02:00,10585.5,2492.6,18081.3,550.0,207.3,1503.5,639.4,564.6,9424.6,322.8,1243.8,480.2,1053.8,56312.0,57861.0,4045.0,309.0
2013-09-25 08:00:00+02:00,10734.1,2496.8,18127.9,483.4,204.8,2553.7,636.5,645.2,9423.5,2216.9,1179.6,2586.4,998.7,59070.0,60412.0,2883.0,752.0
2013-09-25 09:00:00+02:00,10849.9,2464.8,17984.4,192.5,204.0,1782.7,634.9,640.4,9421.7,5391.8,847.3,5746.6,834.4,59541.0,60233.0,2038.0,874.0
2013-09-25 10:00:00+02:00,10803.2,2481.4,17926.1,198.0,201.0,1491.4,629.0,571.9,9414.2,8460.3,680.6,9017.9,708.6,60875.0,60753.0,1146.0,1281.0
2013-09-25 11:00:00+02:00,10925.2,2351.8,17925.5,198.0,201.0,1153.8,622.6,665.4,9398.5,11112.8,671.4,11522.5,686.6,62165.0,61868.0,532.0,1367.0
2013-09-25 12:00:00+02:00,10721.5,2320.4,17462.6,196.0,201.4,1204.5,630.0,625.4,9380.5,12946.1,768.8,12883.4,763.6,62579.0,61134.0,0.0,1984.0
2013-09-25 13:00:00+02:00,10678.2,2245.4,17093.7,196.0,197.1,1557.6,634.8,537.5,9361.1,13046.9,1034.7,13054.2,849.2,61368.0,60040.0,0.0,2691.0
2013-09-25 14:00:00+02:00,10671.3,2537.7,17056.7,196.0,195.3,1523.9,635.6,536.4,9357.3,11962.8,1257.6,11911.8,945.8,59575.0,59259.0,380.0,3137.0
2013-09-25 15:00:00+02:00,10668.7,2344.9,17051.1,194.0,201.3,1220.4,637.5,420.4,9356.2,9376.3,1507.2,9809.2,1065.0,58405.0,57450.0,484.0,2604.0
2013-09-25 16:00:00+02:00,10647.3,2366.8,17071.4,191.0,152.3,845.4,635.6,587.6,9355.4,6572.6,1818.4,6803.0,1133.2,56854.0,56245.0,1119.0,1895.0
2013-09-25 17:00:00+02:00,10701.4,2404.2,17155.9,191.0,133.4,884.4,625.6,645.2,9354.1,3535.6,1963.3,3556.9,1257.2,57083.0,56402.0,1957.0,618.0
2013-09-25 18:00:00+02:00,10758.6,2822.5,17241.9,195.3,134.3,1568.0,608.8,799.1,9359.7,930.8,2125.8,1002.8,1490.9,57152.0,56906.0,2655.0,476.0
2013-09-25 19:00:00+02:00,10803.6,2970.4,17352.0,224.0,133.5,3041.0,609.2,806.1,9361.5,42.5,2193.5,60.1,1723.2,58142.0,58853.0,2732.0,503.0
2013-09-25 20:00:00+02:00,10782.0,2768.5,17255.0,158.0,133.2,1967.5,625.1,610.2,9366.4,0.0,2867.9,0.0,1858.6,56986.0,56731.0,2399.0,507.0
2013-09-25 21:00:00+02:00,10772.1,2296.5,17186.4,150.0,133.3,620.5,625.7,533.1,9352.6,0.0,3103.9,0.0,1992.8,53535.0,53227.0,1297.0,742.0
2013-09-25 22:00:00+02:00,10661.9,1604.7,17035.7,150.0,133.9,247.7,626.9,120.7,9339.1,0.0,3470.6,0.0,2210.3,49803.0,49436.0,1196.0,5253.0
2013-09-25 23:00:00+02:00,10381.4,1070.6,17058.8,150.0,139.0,199.8,628.3,103.3,9365.8,0.0,3885.2,0.0,2450.0,46007.0,45698.0,95.0,7428.0
