,coal,gas,lignite,oil,other,pumped-storage,run-of-the-river,seasonal-store,uranium,Solar_Post,Wind_Post,Solar_Ante,Wind_Ante,Load Ahead,Load,Import,Export
2013-04-08 00:00:00+02:00,12193.7,1525.4,16588.4,97.0,50.4,187.9,344.0,50.6,8163.9,0.0,2859.2,0.0,1811.2,44346.0,44166.0,95.0,7631.0
2013-04-08 01:00:00+02:00,11368.6,1504.3,16947.5,97.0,49.3,113.2,347.0,53.0,8304.8,0.0,3069.9,0.0,1933.6,42752.0,42760.0,13.0,7526.0
2013-04-08 02:00:00+02:00,10647.5,1491.8,17178.1,99.0,49.3,135.7,347.7,46.2,8824.9,0.0,3194.4,0.0,2037.9,42436.0,42482.0,0.0,7527.0
2013-04-08 03:00:00+02:00,10735.4,1575.8,17460.3,99.0,47.6,203.4,344.7,42.8,9047.6,0.0,3072.8,0.0,2010.6,42477.0,42875.0,0.0,7261.0
2013-04-08 04:00:00+02:00,10546.8,1762.5,17509.0,150.4,50.2,112.4,340.9,38.8,9188.5,0.0,2493.2,0.0,1841.2,43502.0,44121.0,86.0,6919.0
2013-04-08 05:00:00+02:00,11790.5,2040.5,17553.7,396.7,51.3,285.0,336.9,52.0,9359.1,0.0,2106.1,0.6,1691.0,46045.0,47400.0,282.0,6505.0
2013-04-08 06:00:00+02:00,13056.1,3087.0,17495.5,510.2,51.2,1746.9,337.0,173.0,9374.0,58.0,2030.7,71.6,1511.0,52177.0,55230.0,950.0,5211.0
2013-04-08 07:00:00+02:00,13599.3,4031.2,17557.5,761.8,50.8,2690.1,337.4,179.3,9368.6,1317.6,1864.0,1168.3,1414.6,57666.0,60237.0,951.0,4958.0
2013-04-08 08:00:00+02:00,13677.7,4034.1,17604.9,817.9,49.5,2506.3,342.9,119.5,9378.1,4694.0,1354.0,4171.3,1356.6,60390.0,61992.0,15.0,4423.0
2013-04-08 09:00:00+02:00,13694.2,3810.9,17583.0,727.7,50.9,1916.3,341.6,120.7,9376.7,8911.5,1162.5,7617.3,1262.6,60598.0,63086.0,0.0,6272.0
2013-04-08 10:00:00+02:00,13307.4,3282.2,17580.8,539.0,50.7,1444.5,340.2,115.6,9365.9,13047.0,1270.4,10888.3,1245.4,61483.0,64320.0,0.0,7332.0
2013-04-08 11:00:00+02:00,13268.7,2574.3,17557.1,383.3,49.5,652.7,344.2,57.3,9358.1,16194.5,1513.3,13517.1,1406.8,62687.0,64620.0,0.0,7807.0
2013-04-08 12:00:00+02:00,13133.1,1997.8,17529.4,504.7,50.7,368.6,351.1,59.2,9353.1,17464.0,1785.4,15017.4,1734.9,62570.0,64094.0,0.0,8815.0
2013-04-08 13:00:00+02:00,12554.5,1947.5,17531.9,661.8,50.5,418.2,350.0,56.8,9345.7,17200.3,2647.3,15017.5,2133.2,62401.0,63930.0,0.0,8924.0
2013-04-08 14:00:00+02:00,12444.8,1960.8,17540.8,443.4,51.2,487.1,337.5,20.5,9341.1,15472.6,3581.0,13721.4,2603.7,61677.0,63124.0,0.0,8766.0
2013-04-08 15:00:00+02:00,12707.3,1923.2,17536.9,360.1,50.7,682.9,341.3,23.8,9345.0,12816.3,4518.2,11471.8,2954.6,60543.0,62868.0,156.0,8639.0
2013-04-08 16:00:00+02:00,13020.6,2027.6,17527.8,324.9,49.7,623.0,355.3,2.0,9345.5,9067.9,5457.3,8281.8,3272.0,59664.0,61185.0,173.0,8054.0
2013-04-08 17:00:00+02:00,13235.4,2539.5,17530.6,401.0,49.3,487.3,352.2,7.0,9345.8,5393.5,6523.9,4755.7,3674.3,59085.0,59925.0,147.0,7107.0
2013-04-08 18:00:00+02:00,13247.1,2640.6,17544.2,458.4,49.4,687.4,350.9,23.5,9344.3,2448.6,6871.9,2061.5,4149.8,61030.0,59607.0,409.0,5882.0
2013-04-08 19:00:00+02:00,13420.1,2622.9,17550.7,645.4,49.8,1340.5,344.5,58.5,9344.0,549.6,6530.8,596.8,4521.8,61700.0,60210.0,653.0,4497.0
2013-04-08 20:00:00+02:00,13468.8,2600.5,17545.4,756.3,49.7,2806.1,342.7,143.5,9346.6,9.3,6656.8,4.6,5038.2,60545.0,61186.0,416.0,5193.0
2013-04-08 21:00:00+02:00,13181.8,2272.3,17466.3,609.6,50.0,770.8,344.9,168.5,9345.6,0.0,7648.6,0.0,5656.6,57829.0,59011.0,353.0,5691.0
2013-04-08 22:00:00+02:00,12722.8,2094.4,17436.5,280.2,51.7,408.0,346.0,45.0,9346.7,0.0,7975.6,0.0,6276.6,47042.0,56694.0,0.0,6377.0
2013-04-08 23:00:00+02:00,12196.0,1402.8,17422.1,248.8,52.9,186.0,347.3,25.8,9348.9,0.0,8046.9,0.0,6593.4,52338.0,52605.0,0.0,8390.0
