,Load_2017
2017-09-10 00:00:00+02:00,39365.7
2017-09-10 01:00:00+02:00,37577.6
2017-09-10 02:00:00+02:00,36742.7
2017-09-10 03:00:00+02:00,36577.3
2017-09-10 04:00:00+02:00,36411.2
2017-09-10 05:00:00+02:00,36660.4
2017-09-10 06:00:00+02:00,37654.7
2017-09-10 07:00:00+02:00,38928.8
2017-09-10 08:00:00+02:00,41793.7
2017-09-10 09:00:00+02:00,44680.9
2017-09-10 10:00:00+02:00,46940.9
2017-09-10 11:00:00+02:00,49509.9
2017-09-10 12:00:00+02:00,49489.2
2017-09-10 13:00:00+02:00,47839.3
2017-09-10 14:00:00+02:00,46456.5
2017-09-10 15:00:00+02:00,45442.6
2017-09-10 16:00:00+02:00,44913.3
2017-09-10 17:00:00+02:00,45589.4
2017-09-10 18:00:00+02:00,46507.5
2017-09-10 19:00:00+02:00,47042.1
2017-09-10 20:00:00+02:00,48161.3
2017-09-10 21:00:00+02:00,46403.2
2017-09-10 22:00:00+02:00,44814.0
2017-09-10 23:00:00+02:00,41657.5
