,coal,gas,lignite,oil,other,pumped-storage,run-of-the-river,seasonal-store,uranium,Solar_Post,Wind_Post,Solar_Ante,Wind_Ante,Load Ahead,Load,Import,Export
2015-05-04 00:00:00+02:00,3316.9,1464.5,12218.8,222.0,41.0,477.9,639.9,80.2,9944.5,0.0,13185.0,0.0,14281.2,39754.8,39902.5,154.0,5535.0
2015-05-04 01:00:00+02:00,3177.5,1444.3,11804.3,221.0,41.0,418.5,639.0,65.6,9931.1,0.0,13240.2,0.0,14237.0,38142.0,38230.8,327.0,6016.0
2015-05-04 02:00:00+02:00,3327.5,1388.3,11790.1,222.0,42.0,446.7,637.9,29.6,9902.4,0.0,13167.8,0.0,13648.5,37412.5,37615.0,760.0,5882.0
2015-05-04 03:00:00+02:00,3195.6,1412.7,11153.8,222.0,41.0,403.2,636.2,72.1,9938.3,0.0,13210.5,0.0,13043.0,37758.0,37982.2,1835.0,6013.0
2015-05-04 04:00:00+02:00,3884.6,1451.2,11354.0,221.0,41.0,515.0,633.4,111.0,9954.6,0.0,12462.5,0.0,12341.5,39333.2,39630.0,2173.0,5938.0
2015-05-04 05:00:00+02:00,6387.4,1510.1,13259.0,220.0,40.0,507.5,633.3,155.9,10037.6,11.0,11818.5,19.8,11428.8,42855.0,44392.0,1966.0,6561.0
2015-05-04 06:00:00+02:00,9482.8,1733.0,13765.0,219.0,40.0,1949.2,633.2,179.5,10123.5,623.2,11304.0,507.5,10445.0,49850.5,52978.8,1564.0,5092.0
2015-05-04 07:00:00+02:00,11778.8,2026.1,13816.6,220.0,39.0,3254.7,632.0,156.0,10145.5,2925.0,10359.8,2236.8,9721.8,55313.5,58569.2,1147.0,4532.0
2015-05-04 08:00:00+02:00,13690.0,2190.5,13902.4,220.0,38.0,2014.3,631.4,153.6,10189.8,6369.8,10167.0,4666.2,9493.2,58489.8,61614.8,623.0,5131.0
2015-05-04 09:00:00+02:00,13517.8,2066.2,13935.6,221.0,38.0,920.5,630.7,139.6,10216.3,9843.2,10691.2,7254.8,9629.2,59955.5,62955.8,570.0,6876.0
2015-05-04 10:00:00+02:00,13037.1,2048.8,13898.1,221.0,38.0,1410.7,630.7,154.7,10259.4,13282.2,10680.0,9594.5,9884.8,61689.2,64256.5,113.0,7990.0
2015-05-04 11:00:00+02:00,13169.1,2042.0,13849.2,221.0,39.0,1228.4,631.1,204.7,10260.6,15794.0,10374.0,11396.5,9961.2,63036.8,65336.5,33.0,8955.0
2015-05-04 12:00:00+02:00,13496.8,1972.6,14119.1,221.0,40.0,712.8,632.2,107.2,10249.2,17034.0,9962.8,12579.2,9634.0,62767.0,64750.8,294.0,10232.0
2015-05-04 13:00:00+02:00,13222.7,1915.8,14099.1,221.0,41.0,564.9,630.6,186.9,10274.2,16965.5,9335.2,13445.5,8812.8,61953.8,64589.8,407.0,9999.0
2015-05-04 14:00:00+02:00,13143.5,1861.6,14353.5,221.0,41.0,669.7,630.9,159.8,10339.4,15120.8,7908.8,13593.8,7670.2,60434.8,61568.2,406.0,9486.0
2015-05-04 15:00:00+02:00,13200.8,1854.1,14155.9,222.0,39.0,759.1,632.2,137.6,10352.4,13929.5,6037.5,12378.0,6269.5,59569.2,59686.5,680.0,8405.0
2015-05-04 16:00:00+02:00,13269.8,1932.4,14477.3,222.0,40.0,678.7,634.2,151.4,10361.3,11603.0,4271.5,10112.0,4747.2,58098.8,58266.0,1165.0,6769.0
2015-05-04 17:00:00+02:00,14759.8,1883.7,14550.5,222.0,40.0,1283.3,635.5,214.9,10373.2,8442.8,2601.8,7154.2,3279.8,57354.8,58803.2,1984.0,5014.0
2015-05-04 18:00:00+02:00,15317.8,1773.5,14551.5,221.0,40.0,1743.8,635.8,217.9,10369.2,4615.5,1504.8,4029.5,2245.8,57193.8,59042.2,3782.0,2797.0
2015-05-04 19:00:00+02:00,15615.2,1712.7,14647.8,222.0,40.0,3615.6,639.5,148.2,10363.3,1676.8,1177.2,1523.5,1634.2,56283.5,58682.8,4383.0,2674.0
2015-05-04 20:00:00+02:00,15449.2,1645.4,14685.0,222.0,42.0,3041.2,640.8,127.3,10355.0,165.5,1975.2,218.0,1653.2,54802.2,57286.2,4718.0,2935.0
2015-05-04 21:00:00+02:00,15030.8,1640.2,14745.9,223.0,42.0,3043.6,640.3,181.2,10336.9,0.0,3823.0,0.0,2266.2,53467.2,56544.2,3552.0,3555.0
2015-05-04 22:00:00+02:00,13353.5,1511.4,14768.1,221.0,43.0,950.2,641.2,149.7,10298.0,0.0,6983.8,0.0,3244.8,50448.0,52348.2,2479.0,4846.0
2015-05-04 23:00:00+02:00,8866.2,1295.1,14753.9,222.0,43.0,555.7,641.5,137.0,10333.8,0.0,10167.0,0.0,4586.2,45694.0,47228.0,961.0,5872.0
