,coal,gas,lignite,oil,other,pumped-storage,run-of-the-river,seasonal-store,uranium,Solar_Post,Wind_Post,Solar_Ante,Wind_Ante,Load Ahead,Load,Import,Export
2015-04-20 00:00:00+02:00,5535.7,2058.4,15349.5,217.0,39.0,246.6,494.1,21.4,10334.4,0.0,4592.5,0.0,3555.8,43855.8,38929.5,1783.0,5362.0
2015-04-20 01:00:00+02:00,4842.3,1960.8,15387.3,218.0,38.0,277.6,511.6,10.9,10388.4,0.0,4624.5,0.0,3489.2,42044.0,37588.8,1861.0,5557.0
2015-04-20 02:00:00+02:00,4714.1,1985.6,15353.7,217.0,37.0,276.1,511.3,8.0,10412.6,0.0,4430.2,0.0,3527.0,41388.5,37169.2,2199.0,5280.0
2015-04-20 03:00:00+02:00,5101.9,2029.2,15340.0,218.0,36.0,219.4,510.3,7.4,10350.2,0.0,4531.5,0.0,3546.2,41814.5,37690.2,2477.0,5156.0
2015-04-20 04:00:00+02:00,6703.5,2057.0,15440.5,218.0,35.0,208.7,508.7,7.9,10424.6,0.0,4900.2,0.0,3710.2,43645.5,39649.2,1971.0,5188.0
2015-04-20 05:00:00+02:00,10038.7,2295.5,15513.2,218.0,35.0,575.1,508.4,34.4,10464.6,0.0,5248.5,0.0,3957.8,47384.8,44400.2,1943.0,5643.0
2015-04-20 06:00:00+02:00,13903.1,2631.6,15469.3,219.0,36.0,1775.9,508.1,77.5,10493.7,350.2,5719.8,341.0,4254.8,55097.8,52084.5,2089.0,4953.0
2015-04-20 07:00:00+02:00,15890.2,3038.5,15527.8,220.0,37.0,3594.7,511.0,93.1,10475.9,3199.8,5493.8,3023.8,4382.8,60690.5,57813.2,1792.0,5803.0
2015-04-20 08:00:00+02:00,16447.1,2997.6,15528.7,220.0,31.0,3211.2,513.1,104.3,10397.8,8626.2,4060.8,8101.8,4039.8,63659.2,60352.0,1995.0,7490.0
2015-04-20 09:00:00+02:00,16287.6,2772.8,15461.3,219.0,30.0,1140.3,513.9,93.3,10433.3,14804.2,3555.8,13930.0,3401.2,64562.0,61198.8,1398.0,8891.0
2015-04-20 10:00:00+02:00,13888.3,2551.8,15382.0,220.0,38.0,643.5,514.1,60.0,10441.2,19982.5,4435.0,18887.2,3078.5,65636.8,62562.8,1022.0,9327.0
2015-04-20 11:00:00+02:00,11566.0,2534.4,15400.0,220.0,38.0,640.6,512.9,48.0,10410.9,23464.5,5350.2,22189.5,3115.8,66837.5,63895.5,955.0,9549.0
2015-04-20 12:00:00+02:00,10090.4,2356.0,15430.5,219.0,39.0,425.4,511.3,36.6,10349.6,25302.0,6147.5,23938.0,3455.2,65840.5,63433.2,695.0,9619.0
2015-04-20 13:00:00+02:00,9639.3,2304.2,15421.8,218.0,40.0,418.4,513.0,38.7,10341.3,25755.5,7106.2,24362.2,3916.5,65082.0,62564.0,286.0,10116.0
2015-04-20 14:00:00+02:00,9341.3,2254.5,15256.3,220.0,41.0,483.1,510.1,45.4,10362.4,24693.5,7908.5,23505.8,4365.2,63999.0,61992.5,390.0,10026.0
2015-04-20 15:00:00+02:00,9122.5,2204.2,15036.1,222.0,41.0,413.0,505.4,31.9,10391.1,22132.8,8380.2,20882.0,4759.8,62566.2,61205.5,615.0,9584.0
2015-04-20 16:00:00+02:00,10954.0,2153.2,15350.8,221.0,41.0,415.9,504.5,16.6,10381.7,17819.5,8746.2,16680.5,5065.5,60659.2,59260.5,970.0,9560.0
2015-04-20 17:00:00+02:00,13000.5,2207.0,15388.9,222.0,41.0,602.7,500.0,60.0,10442.4,11881.2,8828.0,11146.8,5147.2,59997.2,58192.0,1473.0,8407.0
2015-04-20 18:00:00+02:00,15144.0,2547.9,15385.8,222.0,40.0,1411.8,497.8,91.6,10452.8,5805.8,8260.5,5407.5,4933.0,60084.5,57506.8,2045.0,6777.0
2015-04-20 19:00:00+02:00,16007.0,2999.8,15382.1,222.0,39.0,2338.5,496.4,143.1,10464.6,1592.5,7177.5,1553.0,4617.0,60421.2,57651.5,2294.0,4552.0
2015-04-20 20:00:00+02:00,16101.7,3102.3,15250.4,222.0,40.0,3664.0,495.9,138.8,10467.1,85.8,6921.2,139.8,4330.5,59149.0,56590.5,1918.0,4726.0
2015-04-20 21:00:00+02:00,16110.7,3039.0,15161.1,221.0,40.0,2354.3,498.6,139.2,10449.4,0.0,7208.2,0.0,4184.5,57268.5,55227.5,2450.0,5537.0
2015-04-20 22:00:00+02:00,15597.5,2632.8,14656.2,222.0,40.0,1824.4,499.6,188.5,10460.2,0.0,6919.0,0.0,4044.5,53900.0,51425.8,2017.0,6709.0
2015-04-20 23:00:00+02:00,13757.5,2556.1,14648.7,220.0,41.0,1034.4,500.2,111.1,10466.0,0.0,6694.8,0.0,3819.8,49195.5,46425.0,1815.0,7382.0
