,Load_2013,Load_2014,Load_2015,Load_2016
2016-11-22 00:00:00+01:00,48398.0,46236.0,52094.0,48909.3
2016-11-22 01:00:00+01:00,46196.0,45080.0,50520.8,47265.6
2016-11-22 02:00:00+01:00,45495.0,43940.0,49832.2,46422.4
2016-11-22 03:00:00+01:00,46253.0,43837.0,50423.0,46837.7
2016-11-22 04:00:00+01:00,47162.0,44967.0,52005.0,48044.7
2016-11-22 05:00:00+01:00,49578.0,48553.0,55283.0,51138.0
2016-11-22 06:00:00+01:00,57494.0,56070.0,63500.8,59021.6
2016-11-22 07:00:00+01:00,63995.0,61738.0,69690.2,65141.1
2016-11-22 08:00:00+01:00,64984.0,63949.0,71475.8,66802.9
2016-11-22 09:00:00+01:00,65076.0,64915.0,68921.0,66304.0
2016-11-22 10:00:00+01:00,65863.0,65737.0,72740.5,68113.5
2016-11-22 11:00:00+01:00,66606.0,66598.0,73637.5,68947.2
2016-11-22 12:00:00+01:00,66435.0,64791.0,73408.5,68211.5
2016-11-22 13:00:00+01:00,66633.0,64673.0,73028.0,68111.3
2016-11-22 14:00:00+01:00,65637.0,64024.0,72565.2,67408.7
2016-11-22 15:00:00+01:00,66234.0,63426.0,72056.5,67238.8
2016-11-22 16:00:00+01:00,66356.0,63718.0,73532.8,67868.9
2016-11-22 17:00:00+01:00,67960.0,66220.0,76212.2,70130.7
2016-11-22 18:00:00+01:00,67297.0,65805.0,75348.8,69483.6
2016-11-22 19:00:00+01:00,64794.0,64117.0,73031.8,67314.3
2016-11-22 20:00:00+01:00,60733.0,60370.0,68900.2,63334.4
2016-11-22 21:00:00+01:00,57983.0,56781.0,64589.5,59784.5
2016-11-22 22:00:00+01:00,55603.0,54107.0,61557.8,57089.3
2016-11-22 23:00:00+01:00,51682.0,49775.0,56952.2,52803.1
