,Load_2013,Load_2014,Load_2015,Load_2016
2016-01-11 00:00:00+01:00,43961.0,45929.0,47151.0,45680.3
2016-01-11 01:00:00+01:00,42419.0,43822.0,45321.0,43854.0
2016-01-11 02:00:00+01:00,41589.0,43163.0,44187.0,42979.7
2016-01-11 03:00:00+01:00,41604.0,43567.0,43707.0,42959.3
2016-01-11 04:00:00+01:00,42261.0,45208.0,44623.0,44030.7
2016-01-11 05:00:00+01:00,45759.0,48176.0,48379.0,47438.0
2016-01-11 06:00:00+01:00,54331.0,56658.0,57743.0,56244.0
2016-01-11 07:00:00+01:00,61444.0,64620.0,64641.0,63568.3
2016-01-11 08:00:00+01:00,65039.0,66895.0,67367.0,66433.7
2016-01-11 09:00:00+01:00,65256.0,66271.0,67453.0,66326.7
2016-01-11 10:00:00+01:00,65801.0,66542.0,68761.0,67034.7
2016-01-11 11:00:00+01:00,66799.0,67211.0,50929.0,61646.3
2016-01-11 12:00:00+01:00,66355.0,66586.0,50361.0,61100.7
2016-01-11 13:00:00+01:00,65936.0,66555.0,49782.0,60757.7
2016-01-11 14:00:00+01:00,64407.0,65792.0,49179.0,59792.7
2016-01-11 15:00:00+01:00,63995.0,64862.0,48352.0,59069.7
2016-01-11 16:00:00+01:00,64296.0,64487.0,49067.0,59283.3
2016-01-11 17:00:00+01:00,67399.0,67613.0,50958.0,61990.0
2016-01-11 18:00:00+01:00,67676.0,67476.0,50983.0,62045.0
2016-01-11 19:00:00+01:00,65470.0,65609.0,49745.0,60274.7
2016-01-11 20:00:00+01:00,60411.0,62088.0,64197.0,62232.0
2016-01-11 21:00:00+01:00,58064.0,58495.0,61263.0,59274.0
2016-01-11 22:00:00+01:00,55680.0,55969.0,58436.0,56695.0
2016-01-11 23:00:00+01:00,50433.0,51857.0,54512.0,52267.3
