,Load_2013,Load_2014,Load_2015,Load_2016
2016-08-04 00:00:00+02:00,41860.0,43738.0,44668.5,43422.2
2016-08-04 01:00:00+02:00,40646.0,41943.0,42996.0,41861.7
2016-08-04 02:00:00+02:00,40313.0,40712.0,42199.5,41074.8
2016-08-04 03:00:00+02:00,40482.0,40438.0,41930.5,40950.2
2016-08-04 04:00:00+02:00,41517.0,41135.0,42836.5,41829.5
2016-08-04 05:00:00+02:00,43782.0,43485.0,45632.5,44299.8
2016-08-04 06:00:00+02:00,48628.0,48983.0,51599.2,49736.7
2016-08-04 07:00:00+02:00,53651.0,54178.0,57074.8,54967.9
2016-08-04 08:00:00+02:00,56518.0,57848.0,60312.2,58226.1
2016-08-04 09:00:00+02:00,58215.0,59554.0,61955.2,59908.1
2016-08-04 10:00:00+02:00,59536.0,60426.0,63770.5,61244.2
2016-08-04 11:00:00+02:00,60421.0,61072.0,65454.2,62315.7
2016-08-04 12:00:00+02:00,60951.0,60926.0,65032.5,62303.2
2016-08-04 13:00:00+02:00,60618.0,59788.0,64127.8,61511.3
2016-08-04 14:00:00+02:00,59419.0,58018.0,63937.2,60458.1
2016-08-04 15:00:00+02:00,58757.0,56716.0,62799.2,59424.1
2016-08-04 16:00:00+02:00,57167.0,55342.0,61619.2,58042.7
2016-08-04 17:00:00+02:00,56871.0,54923.0,61034.5,57609.5
2016-08-04 18:00:00+02:00,56452.0,54464.0,60390.2,57102.1
2016-08-04 19:00:00+02:00,55930.0,54143.0,59376.5,56483.2
2016-08-04 20:00:00+02:00,54379.0,52501.0,57003.5,54627.8
2016-08-04 21:00:00+02:00,52609.0,51586.0,56031.0,53408.7
2016-08-04 22:00:00+02:00,49982.0,49398.0,52992.5,50790.8
2016-08-04 23:00:00+02:00,45830.0,44770.0,48466.0,46355.3
