,Load_2013,Load_2014,Load_2015,Load_2016
2016-01-16 00:00:00+01:00,49829.0,49424.0,46886.0,48713.0
2016-01-16 01:00:00+01:00,47803.0,46868.0,44829.0,46500.0
2016-01-16 02:00:00+01:00,45950.0,44421.0,44027.0,44799.3
2016-01-16 03:00:00+01:00,45480.0,44323.0,43601.0,44468.0
2016-01-16 04:00:00+01:00,45321.0,44182.0,43634.0,44379.0
2016-01-16 05:00:00+01:00,44787.0,44501.0,43226.0,44171.3
2016-01-16 06:00:00+01:00,44722.0,45472.0,44032.0,44742.0
2016-01-16 07:00:00+01:00,47404.0,48367.0,46862.0,47544.3
2016-01-16 08:00:00+01:00,51664.0,52580.0,50498.0,51580.7
2016-01-16 09:00:00+01:00,54015.0,55130.0,53845.0,54330.0
2016-01-16 10:00:00+01:00,55243.0,56485.0,55292.0,55673.3
2016-01-16 11:00:00+01:00,55665.0,56596.0,56040.0,56100.3
2016-01-16 12:00:00+01:00,55632.0,56435.0,55441.0,55836.0
2016-01-16 13:00:00+01:00,54204.0,54644.0,53712.0,54186.7
2016-01-16 14:00:00+01:00,52894.0,53441.0,52430.0,52921.7
2016-01-16 15:00:00+01:00,52447.0,53493.0,51869.0,52603.0
2016-01-16 16:00:00+01:00,53338.0,54433.0,52915.0,53562.0
2016-01-16 17:00:00+01:00,58257.0,59329.0,56869.0,58151.7
2016-01-16 18:00:00+01:00,59527.0,60051.0,58978.0,59518.7
2016-01-16 19:00:00+01:00,58006.0,57923.0,57338.0,57755.7
2016-01-16 20:00:00+01:00,53545.0,55130.0,53115.0,53930.0
2016-01-16 21:00:00+01:00,51659.0,53479.0,51017.0,52051.7
2016-01-16 22:00:00+01:00,51737.0,52834.0,50752.0,51774.3
2016-01-16 23:00:00+01:00,48740.0,50210.0,48021.0,48990.3
