,Load_2013,Load_2014,Load_2015,Load_2016
2016-05-28 00:00:00+02:00,43678.0,41164.0,43602.5,42814.8
2016-05-28 01:00:00+02:00,41773.0,39494.0,41300.0,40855.7
2016-05-28 02:00:00+02:00,40888.0,37677.0,41127.8,39897.6
2016-05-28 03:00:00+02:00,41114.0,37185.0,40555.8,39618.3
2016-05-28 04:00:00+02:00,41890.0,37712.0,40369.8,39990.6
2016-05-28 05:00:00+02:00,41041.0,38143.0,40543.8,39909.3
2016-05-28 06:00:00+02:00,41628.0,39371.0,42117.0,41038.7
2016-05-28 07:00:00+02:00,43651.0,42929.0,45447.0,44009.0
2016-05-28 08:00:00+02:00,46712.0,46770.0,50221.0,47901.0
2016-05-28 09:00:00+02:00,49081.0,49653.0,53385.8,50706.6
2016-05-28 10:00:00+02:00,50949.0,50206.0,55206.0,52120.3
2016-05-28 11:00:00+02:00,52269.0,49654.0,56045.5,52656.2
2016-05-28 12:00:00+02:00,52103.0,48846.0,54955.0,51968.0
2016-05-28 13:00:00+02:00,50526.0,48058.0,54202.0,50928.7
2016-05-28 14:00:00+02:00,49493.0,47381.0,51763.2,49545.7
2016-05-28 15:00:00+02:00,49075.0,46402.0,50740.5,48739.2
2016-05-28 16:00:00+02:00,49018.0,45336.0,50476.5,48276.8
2016-05-28 17:00:00+02:00,49477.0,45392.0,50139.2,48336.1
2016-05-28 18:00:00+02:00,49777.0,45327.0,49792.8,48298.9
2016-05-28 19:00:00+02:00,47967.0,44433.0,49501.5,47300.5
2016-05-28 20:00:00+02:00,45511.0,42599.0,46923.8,45011.3
2016-05-28 21:00:00+02:00,44677.0,42092.0,45194.2,43987.7
2016-05-28 22:00:00+02:00,44610.0,41605.0,44567.0,43594.0
2016-05-28 23:00:00+02:00,43385.0,39240.0,40710.8,41111.9
