,Load_2013,Load_2014,Load_2015,Load_2016
2016-02-29 00:00:00+01:00,47673.0,46236.0,48067.5,47325.5
2016-02-29 01:00:00+01:00,46511.0,44876.0,47248.0,46211.7
2016-02-29 02:00:00+01:00,45903.0,44024.0,46646.5,45524.5
2016-02-29 03:00:00+01:00,46231.0,43635.0,47059.5,45641.8
2016-02-29 04:00:00+01:00,47259.0,45536.0,49682.5,47492.5
2016-02-29 05:00:00+01:00,49977.0,49515.0,54006.8,51166.3
2016-02-29 06:00:00+01:00,57962.0,58657.0,61775.0,59464.7
2016-02-29 07:00:00+01:00,63887.0,63477.0,66406.8,64590.3
2016-02-29 08:00:00+01:00,65723.0,64533.0,68397.2,66217.7
2016-02-29 09:00:00+01:00,65985.0,64784.0,69044.0,66604.3
2016-02-29 10:00:00+01:00,68364.0,64910.0,69875.2,67716.4
2016-02-29 11:00:00+01:00,69727.0,66843.0,71297.2,69289.1
2016-02-29 12:00:00+01:00,68661.0,67221.0,70809.0,68897.0
2016-02-29 13:00:00+01:00,68552.0,66743.0,70432.8,68575.9
2016-02-29 14:00:00+01:00,67881.0,65315.0,69076.5,67424.2
2016-02-29 15:00:00+01:00,67095.0,64409.0,68912.8,66805.6
2016-02-29 16:00:00+01:00,65668.0,63001.0,67449.2,65372.7
2016-02-29 17:00:00+01:00,66124.0,63782.0,66444.0,65450.0
2016-02-29 18:00:00+01:00,69269.0,68036.0,68173.0,68492.7
2016-02-29 19:00:00+01:00,68224.0,68214.0,68079.8,68172.6
2016-02-29 20:00:00+01:00,64796.0,64668.0,64455.0,64639.7
2016-02-29 21:00:00+01:00,61192.0,62091.0,62350.0,61877.7
2016-02-29 22:00:00+01:00,59412.0,59146.0,60439.2,59665.7
2016-02-29 23:00:00+01:00,55611.0,54736.0,56979.8,55775.6
