,Load_2013,Load_2014,Load_2015,Load_2016
2016-10-27 00:00:00+02:00,47470.0,47159.0,47617.2,47415.4
2016-10-27 01:00:00+02:00,45398.0,45577.0,45385.2,45453.4
2016-10-27 02:00:00+02:00,44065.0,44720.0,44315.2,44366.7
2016-10-27 03:00:00+02:00,44054.0,44975.0,44864.5,44631.2
2016-10-27 04:00:00+02:00,44906.0,45640.0,46686.8,45744.3
2016-10-27 05:00:00+02:00,47212.0,48449.0,50459.8,48706.9
2016-10-27 06:00:00+02:00,53659.0,55083.0,58602.2,55781.4
2016-10-27 07:00:00+02:00,61060.0,61086.0,63846.5,61997.5
2016-10-27 08:00:00+02:00,62285.0,62445.0,66448.0,63726.0
2016-10-27 09:00:00+02:00,61513.0,61999.0,66725.0,63412.3
2016-10-27 10:00:00+02:00,62183.0,63070.0,67564.8,64272.6
2016-10-27 11:00:00+02:00,63372.0,63603.0,68565.2,65180.1
2016-10-27 12:00:00+02:00,62890.0,62870.0,67544.5,64434.8
2016-10-27 13:00:00+02:00,59441.0,62534.0,66910.2,62961.7
2016-10-27 14:00:00+02:00,60838.0,61560.0,66112.5,62836.8
2016-10-27 15:00:00+02:00,59111.0,60401.0,65325.8,61612.6
2016-10-27 16:00:00+02:00,57328.0,54282.0,64723.8,58777.9
2016-10-27 17:00:00+02:00,57749.0,59655.0,68227.0,61877.0
2016-10-27 18:00:00+02:00,58866.0,62228.0,68448.2,63180.7
2016-10-27 19:00:00+02:00,61947.0,57540.0,66774.5,62087.2
2016-10-27 20:00:00+02:00,58420.0,59313.0,62748.5,60160.5
2016-10-27 21:00:00+02:00,54205.0,55790.0,58943.5,56312.8
2016-10-27 22:00:00+02:00,50667.0,52451.0,55443.0,52853.7
2016-10-27 23:00:00+02:00,46340.0,48539.0,50430.0,48436.3
