,Load_2013,Load_2014,Load_2015,Load_2016
2016-10-29 00:00:00+02:00,45034.0,46880.0,45675.0,45863.0
2016-10-29 01:00:00+02:00,42989.0,45060.0,43387.0,43812.0
2016-10-29 02:00:00+02:00,41781.0,43333.0,42099.2,42404.4
2016-10-29 03:00:00+02:00,41326.0,43138.0,42038.2,42167.4
2016-10-29 04:00:00+02:00,41542.0,43722.0,42636.5,42633.5
2016-10-29 05:00:00+02:00,42158.0,43444.0,43024.5,42875.5
2016-10-29 06:00:00+02:00,43695.0,44865.0,44148.8,44236.3
2016-10-29 07:00:00+02:00,46921.0,47812.0,47629.2,47454.1
2016-10-29 08:00:00+02:00,49577.0,50200.0,51233.5,50336.8
2016-10-29 09:00:00+02:00,52650.0,52698.0,54249.0,53199.0
2016-10-29 10:00:00+02:00,54072.0,53984.0,55623.8,54559.9
2016-10-29 11:00:00+02:00,54247.0,54481.0,56275.2,55001.1
2016-10-29 12:00:00+02:00,54286.0,53991.0,54895.8,54390.9
2016-10-29 13:00:00+02:00,53546.0,52389.0,52671.2,52868.7
2016-10-29 14:00:00+02:00,52383.0,51144.0,51002.5,51509.8
2016-10-29 15:00:00+02:00,51292.0,50469.0,50264.0,50675.0
2016-10-29 16:00:00+02:00,50449.0,49589.0,50628.5,50222.2
2016-10-29 17:00:00+02:00,51167.0,50543.0,55822.8,52510.9
2016-10-29 18:00:00+02:00,54205.0,53624.0,57532.0,55120.3
2016-10-29 19:00:00+02:00,55091.0,54056.0,55177.5,54774.8
2016-10-29 20:00:00+02:00,52056.0,50831.0,51535.8,51474.3
2016-10-29 21:00:00+02:00,49253.0,48330.0,48920.5,48834.5
2016-10-29 22:00:00+02:00,47512.0,47091.0,47464.5,47355.8
2016-10-29 23:00:00+02:00,45043.0,43868.0,44334.2,44415.1
