,Load_2013,Load_2014,Load_2015,Load_2016
2016-04-24 00:00:00+02:00,40668.0,40795.0,37886.0,39783.0
2016-04-24 01:00:00+02:00,38507.0,38797.0,35681.2,37661.7
2016-04-24 02:00:00+02:00,37523.0,37138.0,34510.2,36390.4
2016-04-24 03:00:00+02:00,37988.0,37012.0,34168.0,36389.3
2016-04-24 04:00:00+02:00,38213.0,37166.0,34641.8,36673.6
2016-04-24 05:00:00+02:00,38339.0,36845.0,34929.0,36704.3
2016-04-24 06:00:00+02:00,38061.0,36738.0,34694.2,36497.7
2016-04-24 07:00:00+02:00,39532.0,38193.0,36766.0,38163.7
2016-04-24 08:00:00+02:00,42561.0,40013.0,40373.8,40982.6
2016-04-24 09:00:00+02:00,45621.0,42661.0,43831.5,44037.8
2016-04-24 10:00:00+02:00,48961.0,44500.0,46534.0,46665.0
2016-04-24 11:00:00+02:00,50561.0,46831.0,48630.2,48674.1
2016-04-24 12:00:00+02:00,50645.0,46879.0,48797.8,48773.9
2016-04-24 13:00:00+02:00,49077.0,45522.0,46680.8,47093.3
2016-04-24 14:00:00+02:00,47311.0,43966.0,44948.2,45408.4
2016-04-24 15:00:00+02:00,45958.0,42108.0,44684.0,44250.0
2016-04-24 16:00:00+02:00,44814.0,41905.0,44130.2,43616.4
2016-04-24 17:00:00+02:00,46095.0,42709.0,45269.5,44691.2
2016-04-24 18:00:00+02:00,47411.0,43712.0,47126.5,46083.2
2016-04-24 19:00:00+02:00,47914.0,44391.0,47121.8,46475.6
2016-04-24 20:00:00+02:00,47521.0,45305.0,47081.0,46635.7
2016-04-24 21:00:00+02:00,47423.0,45759.0,47061.5,46747.8
2016-04-24 22:00:00+02:00,45186.0,44885.0,46063.0,45378.0
2016-04-24 23:00:00+02:00,42222.0,41746.0,42430.2,42132.7
