,Load_2013,Load_2014,Load_2015,Load_2016
2016-09-01 00:00:00+02:00,41985.0,41070.0,45861.8,42972.3
2016-09-01 01:00:00+02:00,40940.0,39779.0,44163.8,41627.6
2016-09-01 02:00:00+02:00,40094.0,39682.0,43256.5,41010.8
2016-09-01 03:00:00+02:00,40203.0,39819.0,43472.0,41164.7
2016-09-01 04:00:00+02:00,40843.0,40150.0,44713.0,41902.0
2016-09-01 05:00:00+02:00,44093.0,42711.0,48404.2,45069.4
2016-09-01 06:00:00+02:00,49934.0,48095.0,56428.8,51485.9
2016-09-01 07:00:00+02:00,53970.0,52472.0,61324.0,55922.0
2016-09-01 08:00:00+02:00,56449.0,56309.0,64034.5,58930.8
2016-09-01 09:00:00+02:00,56919.0,57562.0,64567.2,59682.7
2016-09-01 10:00:00+02:00,58881.0,58108.0,65836.2,60941.7
2016-09-01 11:00:00+02:00,57671.0,59513.0,67702.5,61628.8
2016-09-01 12:00:00+02:00,59791.0,59706.0,67275.0,62257.3
2016-09-01 13:00:00+02:00,59690.0,59693.0,66510.0,61964.3
2016-09-01 14:00:00+02:00,58885.0,58462.0,64319.2,60555.4
2016-09-01 15:00:00+02:00,57439.0,57048.0,63237.8,59241.6
2016-09-01 16:00:00+02:00,56052.0,55896.0,61749.8,57899.3
2016-09-01 17:00:00+02:00,55493.0,54582.0,61068.8,57047.9
2016-09-01 18:00:00+02:00,55215.0,54299.0,60673.0,56729.0
2016-09-01 19:00:00+02:00,55132.0,54250.0,60784.5,56722.2
2016-09-01 20:00:00+02:00,54382.0,54228.0,60544.0,56384.7
2016-09-01 21:00:00+02:00,52290.0,52080.0,57437.8,53935.9
2016-09-01 22:00:00+02:00,47932.0,48133.0,52788.8,49617.9
2016-09-01 23:00:00+02:00,44791.0,44053.0,49070.5,45971.5
