,Load_2013,Load_2014,Load_2015,Load_2016
2016-06-27 00:00:00+02:00,40452.0,41890.0,39572.5,40638.2
2016-06-27 01:00:00+02:00,39150.0,40629.0,38112.5,39297.2
2016-06-27 02:00:00+02:00,38910.0,39987.0,37520.0,38805.7
2016-06-27 03:00:00+02:00,39170.0,39488.0,37949.0,38869.0
2016-06-27 04:00:00+02:00,40565.0,40003.0,39319.5,39962.5
2016-06-27 05:00:00+02:00,43393.0,42183.0,43010.0,42862.0
2016-06-27 06:00:00+02:00,50643.0,49534.0,51766.5,50647.8
2016-06-27 07:00:00+02:00,56536.0,54599.0,58686.2,56607.1
2016-06-27 08:00:00+02:00,60676.0,58886.0,61458.5,60340.2
2016-06-27 09:00:00+02:00,61894.0,60044.0,61604.5,61180.8
2016-06-27 10:00:00+02:00,64024.0,61487.0,63057.5,62856.2
2016-06-27 11:00:00+02:00,65425.0,63068.0,64847.8,64446.9
2016-06-27 12:00:00+02:00,64553.0,62690.0,64847.0,64030.0
2016-06-27 13:00:00+02:00,63249.0,62688.0,64326.5,63421.2
2016-06-27 14:00:00+02:00,61926.0,61565.0,63383.0,62291.3
2016-06-27 15:00:00+02:00,60114.0,60680.0,62198.2,60997.4
2016-06-27 16:00:00+02:00,58953.0,58795.0,60732.5,59493.5
2016-06-27 17:00:00+02:00,58015.0,58112.0,59858.5,58661.8
2016-06-27 18:00:00+02:00,58576.0,56803.0,59553.5,58310.8
2016-06-27 19:00:00+02:00,57940.0,56183.0,58708.0,57610.3
2016-06-27 20:00:00+02:00,55446.0,54280.0,55814.5,55180.2
2016-06-27 21:00:00+02:00,52978.0,52691.0,53625.2,53098.1
2016-06-27 22:00:00+02:00,51563.0,50803.0,51371.5,51245.8
2016-06-27 23:00:00+02:00,47524.0,47131.0,46766.5,47140.5
