,Anmerkung,BNetzA_ID,Baujahr,Betriebstand,Energietraeger,Grenzkosten,KWK,Kraftwerksart,Kraftwerksname,Leistung,Unternehmen,Voraus_Stillegung,Wirkungsgrad,Aktiv
0,Berechneter Zeitpunkt der Stillegung,BNA0214,2005.0,in Betrieb,Erdgas,0.0,Ja,,HKW III/B,234.0,Stadtwerke Duisburg AG,--,0.3725,KWK
1,Berechneter Zeitpunkt der Stillegung,BNA0999,1989.0,in Betrieb,Steinkohle,0.0,ja,,Heizkraftwerk,211.0,STEAG Power Saar GmbH,2034,0.331,KWK
2,Berechneter Zeitpunkt der Stillegung,BNA0493,1985.0,in Betrieb,Steinkohle,0.0,Ja,,Ibbenbüren,794.0,RWE Generation SE,2030,0.3993,KWK
3,Berechneter Zeitpunkt der Stillegung,BNA1405a,1978.0,in Betrieb,Steinkohle,0.0,Ja,,Heizkraftwerk Magirusstraße,20.7,Fernwärme Ulm GmbH,2023,0.3087,KWK
4,Berechneter Zeitpunkt der Stillegung,BNA0083,1977.0,in Betrieb,Mineralölprodukte,0.0,Ja,,Wilmersdorf,276.0,Vattenfall Europe Wärme AG,2022,0.35,KWK
5,Von der BNetzA Terminiert,BNA1338,1978.0,in Betrieb,Mineralölprodukte,0.0,Ja,,Spitzenkraftwerk,19.0,Eurowatt Spitzenkraft GmbH,2015,0.35,KWK
6,Berechneter Zeitpunkt der Stillegung,BNA0207,1995.0,in Betrieb,Erdgas,0.0,Ja,,HKW Dresden-Nossener Brücke,250.0,DREWAG Stadtwerke Dresden GmbH,--,0.3743,KWK
7,Berechneter Zeitpunkt der Stillegung,BNA0418,2013.0,in Betrieb,Erdgas,0.0,Ja,,GKL,250.0,Stadtwerke Hannover AG,--,0.3743,KWK
8,Berechneter Zeitpunkt der Stillegung,BNA0221c,1976.0,in Betrieb,Erdgas,0.0,Ja,,Gasblock,293.0,Stadtwerke Düsseldorf AG,--,0.3786,KWK
9,Berechneter Zeitpunkt der Stillegung,BNA0604,1973.0,in Betrieb,Erdgas,0.0,Ja,,Emsland,359.0,RWE Generation SE,--,0.3842,KWK
10,Berechneter Zeitpunkt der Stillegung,BNA0605,1974.0,in Betrieb,Erdgas,0.0,Ja,,Emsland,359.0,RWE Generation SE,--,0.3842,KWK
11,Berechneter Zeitpunkt der Stillegung,BNA0615,1997.0,in Betrieb,Erdgas,0.0,Ja,,Kraftwerk Süd,390.0,BASF SE,--,0.3865,KWK
12,Berechneter Zeitpunkt der Stillegung,BNA0626,2001.0,in Betrieb,Erdgas,0.0,Ja,,Kraftwerk Mainz,398.0,Kraftwerke Mainz-Wiesbaden AG,--,0.387,KWK
13,Berechneter Zeitpunkt der Stillegung,BNA0518b,2014.0,in Betrieb,Steinkohle,0.0,Ja,,Rheinhafen-Dampfkraftwerk,842.0,EnBW Energie Baden-Württemberg AG,2059,0.4078,KWK
14,Berechneter Zeitpunkt der Stillegung,BNA0614b,2005.0,in Betrieb,Erdgas,0.0,Ja,,Kraftwerk Mitte,490.0,BASF SE,--,0.3927,KWK
15,Berechneter Zeitpunkt der Stillegung,BNA0199,2000.0,in Betrieb,Erdgas,0.0,Ja,GuD,Dormagen,586.3,RWE Generation SE,--,0.55,KWK
16,Berechneter Zeitpunkt der Stillegung,BNA0073,1996.0,in Betrieb,Erdgas,0.0,Ja,GuD,Mitte,444.0,Vattenfall Europe Wärme AG,--,0.5321,KWK
17,Berechneter Zeitpunkt der Stillegung,BNA0122,1979.0,in Betrieb,Braunkohle,0.0,Ja,,Boxberg,465.0,Vattenfall Europe Generation AG,2024,0.3667,KWK
18,Von der BNetzA Terminiert,BNA0490,1993.0,in Betrieb,Braunkohle,0.0,Ja,,Goldenberg,85.0,RWE Power AG,2015,0.3151,KWK
19,Berechneter Zeitpunkt der Stillegung,BNA0545,2005.0,in Betrieb,Erdgas,0.0,Ja,GuD,HKW Niehl 2,413.0,RheinEnergie AG,--,0.5282,KWK
20,Berechneter Zeitpunkt der Stillegung,BNA1121,2005.0,in Betrieb,Erdgas,0.0,Ja,,Energiezentrale,0.88,RÜTGERS InfraTec GmbH,--,0.2195,KWK
21,Berechneter Zeitpunkt der Stillegung,BNA1335b,1968.0,in Betrieb,Erdgas,0.0,Ja,,PKV Kraftwerk,0.48,Papier- u. Kartonfabrik Varel GmbH & Co. KG,--,0.2029,KWK
22,Berechneter Zeitpunkt der Stillegung,BNA0603,2011.0,in Betrieb,Erdgas,0.0,Ja,,Emsland,116.0,RWE Generation SE,--,0.3532,KWK
23,Berechneter Zeitpunkt der Stillegung,BNA0172,2001.0,in Betrieb,Erdgas,0.0,Ja,,Dampfkraftwerk BGH - O1,178.0,Wacker Chemie AG,--,0.365,KWK
24,Berechneter Zeitpunkt der Stillegung,BNA0504,1996.0,in Betrieb,Erdgas,0.0,Ja,,HKW Jena,182.0,Thüringer Energie AG,--,0.3656,KWK
25,Berechneter Zeitpunkt der Stillegung,BNA0918a,1972.0,in Betrieb,Erdgas,0.0,Ja,,Dow Stade,190.0,Dow Deutschland Anlagengesellschaft mbH,--,0.3668,KWK
26,Berechneter Zeitpunkt der Stillegung,BNA0074,1975.0,in Betrieb,Erdgas,0.0,Ja,,Charlottenburg,211.0,Vattenfall Europe Wärme AG,--,0.3696,KWK
27,Berechneter Zeitpunkt der Stillegung,BNA0606,2010.0,in Betrieb,Erdgas,0.0,Ja,,Emsland,876.0,RWE Generation SE,--,0.4086,KWK
28,Berechneter Zeitpunkt der Stillegung,BNA0389,1980.0,in Betrieb,Erdgas,0.0,Ja,,Heizkraftwerk Hagen-Kabel,230.0,Mark-E AG,--,0.372,KWK
29,Von der BNetzA Terminiert,BNA0263,1988.0,in Betrieb,Kernenergie,10.38,Nein,,Isar 2,1410.0,E.ON Kernkraft GmbH,2022,1.0,A
30,Von der BNetzA Terminiert,BNA0157,1986.0,in Betrieb,Kernenergie,10.38,Nein,,Brokdorf,1410.0,E.ON Kernkraft GmbH,2021,1.0,A
31,Von der BNetzA Terminiert,BNA0802,1985.0,in Betrieb,Kernenergie,10.41,Nein,,Kernkraftwerk Philippsburg 2,1402.0,EnBW Energie Baden-Württemberg AG,2019,1.0,A
32,Von der BNetzA Terminiert,BNA0251,1985.0,in Betrieb,Kernenergie,10.6,Nein,,Grohnde,1360.0,E.ON Kernkraft GmbH,2021,1.0,A
33,Von der BNetzA Terminiert,BNA0607,1988.0,in Betrieb,Kernenergie,10.74,Nein,,Kernkraftwerk Emsland,1329.0,Kernkraftwerke Lippe-Ems GmbH (KLE),2022,1.0,A
34,Von der BNetzA Terminiert,BNA0686,1989.0,in Betrieb,Kernenergie,10.83,Nein,,Gemeinschaftskernkraftwerk Neckarwestheim II,1310.0,EnBW Energie Baden-Württemberg AG,2022,1.0,A
35,Von der BNetzA Terminiert,BNA0382,1984.0,in Betrieb,Kernenergie,10.94,Nein,,Kernkraft Gundremmingen ,1288.0,Kernkraftwerk Gundremmingen GmbH (KGG),2017,1.0,A
36,Von der BNetzA Terminiert,BNA0381,1984.0,in Betrieb,Kernenergie,10.96,Nein,,Kernkraft Gundremmingen ,1284.0,Kernkraftwerk Gundremmingen GmbH (KGG),2021,1.0,A
37,Von der BNetzA Terminiert,BNA0355,1982.0,in Betrieb,Kernenergie,11.0,Nein,,Grafenrheinfeld,553.7999999999993,E.ON Kernkraft GmbH,2015,1.0,A
38,Berechneter Zeitpunkt der Stillegung,BNA0709,2002.0,in Betrieb,Braunkohle,26.83,Nein,,Niederaußem,944.0,RWE Power AG,2047,0.3882,A
39,Berechneter Zeitpunkt der Stillegung,BNA0116,1999.0,in Betrieb,Braunkohle,27.36,Ja,,Braunkohlekraftwerk Lippendorf,875.0,EnBW Energie Baden-Württemberg AG,2044,0.3859,A
40,Berechneter Zeitpunkt der Stillegung,BNA0115,2000.0,in Betrieb,Braunkohle,27.36,Ja,,Lippendorf,875.0,Vattenfall Europe Generation AG,2045,0.3859,A
41,Berechneter Zeitpunkt der Stillegung,BNA0124,2000.0,in Betrieb,Braunkohle,27.5,Ja,,Boxberg,857.0,Vattenfall Europe Generation AG,2045,0.3853,A
42,Berechneter Zeitpunkt der Stillegung,BNA0915,1998.0,in Betrieb,Braunkohle,28.39,Ja,,Schwarze Pumpe,750.0,Vattenfall Europe Generation AG,2043,0.3813,A
43,Berechneter Zeitpunkt der Stillegung,BNA0914,1997.0,in Betrieb,Braunkohle,28.39,Ja,,Schwarze Pumpe,750.0,Vattenfall Europe Generation AG,2042,0.3813,A
44,Berechneter Zeitpunkt der Stillegung,BNA0708,1974.0,in Betrieb,Braunkohle,29.26,Ja,,Niederaußem,653.0,RWE Power AG,2019,0.377,A
45,Berechneter Zeitpunkt der Stillegung,BNA0707,1974.0,in Betrieb,Braunkohle,29.31,Nein,,Niederaußem,648.0,RWE Power AG,2019,0.3768,A
46,Berechneter Zeitpunkt der Stillegung,BNA1404,2012.0,in Betrieb,Braunkohle,29.38,Nein,,Boxberg,640.0,Vattenfall Europe Generation AG,2057,0.3764,A
47,Berechneter Zeitpunkt der Stillegung,BNA0699,1975.0,in Betrieb,Braunkohle,29.69,Ja,,Neurath,607.0,RWE Power AG,2020,0.3748,A
48,Berechneter Zeitpunkt der Stillegung,BNA0700,1976.0,in Betrieb,Braunkohle,29.72,Ja,,Neurath,604.0,RWE Power AG,2021,0.3747,A
49,Berechneter Zeitpunkt der Stillegung,BNA1027,1974.0,in Betrieb,Braunkohle,29.84,Ja,,Weisweiler,592.0,RWE Power AG,2019,0.3741,A
50,Berechneter Zeitpunkt der Stillegung,BNA1028,1975.0,in Betrieb,Braunkohle,29.84,Ja,,Weisweiler,592.0,RWE Power AG,2020,0.3741,A
51,Berechneter Zeitpunkt der Stillegung,BNA0789,1987.0,in Betrieb,Braunkohle,31.15,Ja,,KW Jänschwalde,465.0,Vattenfall Europe Generation AG,2032,0.3667,A
52,Berechneter Zeitpunkt der Stillegung,BNA0788,1985.0,in Betrieb,Braunkohle,31.15,Ja,,KW Jänschwalde,465.0,Vattenfall Europe Generation AG,2030,0.3667,A
53,Berechneter Zeitpunkt der Stillegung,BNA0787,1984.0,in Betrieb,Braunkohle,31.15,Ja,,KW Jänschwalde,465.0,Vattenfall Europe Generation AG,2029,0.3667,A
54,Berechneter Zeitpunkt der Stillegung,BNA0785,1981.0,in Betrieb,Braunkohle,31.15,Ja,,KW Jänschwalde,465.0,Vattenfall Europe Generation AG,2026,0.3667,A
55,Berechneter Zeitpunkt der Stillegung,BNA0786,1982.0,in Betrieb,Braunkohle,31.15,Ja,,KW Jänschwalde,465.0,Vattenfall Europe Generation AG,2027,0.3667,A
56,Berechneter Zeitpunkt der Stillegung,BNA0123,1980.0,in Betrieb,Braunkohle,31.15,Ja,,Boxberg,465.0,Vattenfall Europe Generation AG,2025,0.3667,A
57,Berechneter Zeitpunkt der Stillegung,BNA0790,1989.0,in Betrieb,Braunkohle,31.15,Ja,,KW Jänschwalde,465.0,Vattenfall Europe Generation AG,2034,0.3667,A
58,Berechneter Zeitpunkt der Stillegung,BNA0878,1996.0,in Betrieb,Braunkohle,31.32,Ja,,Schkopau,450.0,E.ON Kraftwerke GmbH,2041,0.3657,A
