,Anmerkung,BNetzA_ID,Baujahr,Betriebstand,Energietraeger,Grenzkosten,KWK,Kraftwerksart,Kraftwerksname,Leistung,Unternehmen,Voraus_Stillegung,Wirkungsgrad,Aktiv
68,Berechneter Zeitpunkt der Stillegung,BNA0991,1982.0,in Betrieb,Steinkohle,54.77,Nein,,KW Voerde,695.0,Steag GmbH,2027,0.3877,A
69,Berechneter Zeitpunkt der Stillegung,BNA0464,1979.0,in Betrieb,Steinkohle,54.87,Nein,,KWM,690.0,Stadtwerke Hannover AG,2024,0.3871,A
70,Von der BNetzA Terminiert,BNA0335,1979.0,in Betrieb,Steinkohle,55.14,Nein,,Scholven,676.0,E.ON Kraftwerke GmbH,2014,0.3855,A
71,Berechneter Zeitpunkt der Stillegung,BNA0820,1976.0,in Betrieb,Steinkohle,55.54,ja,,Weiher,655.6,STEAG Power Saar GmbH,2021,0.3831,A
72,Berechneter Zeitpunkt der Stillegung,BNA1046a,1984.0,in Betrieb,Steinkohle,56.5,Nein,,Gersteinwerk,607.5,RWE Generation SE,2029,0.3775,A
73,Berechneter Zeitpunkt der Stillegung,BNA0377,1992.0,in Betrieb,Steinkohle,58.54,Ja,,Staudinger,510.0,E.ON Kraftwerke GmbH,2037,0.366,A
74,Berechneter Zeitpunkt der Stillegung,BNA0849,1994.0,in Betrieb,Steinkohle,58.58,Ja,,KNG Kraftwerk Rostock,508.0,EnBW Energie Baden-Württemberg AG,2039,0.3658,A
75,Berechneter Zeitpunkt der Stillegung,BNA0518a,1985.0,in Betrieb,Steinkohle,58.65,Ja,,Rheinhafen-Dampfkraftwerk,505.0,EnBW Energie Baden-Württemberg AG,2030,0.3654,A
76,Berechneter Zeitpunkt der Stillegung,BNA1093,1986.0,in Betrieb,Steinkohle,59.37,Ja,,Zolling,472.0,GDF SUEZ Energie Deutschland AG,2031,0.3616,A
77,Berechneter Zeitpunkt der Stillegung,BNA0450,1989.0,in Betrieb,Steinkohle,59.88,Ja,,KW Herne,449.0,Steag GmbH,2034,0.3589,A
78,Berechneter Zeitpunkt der Stillegung,BNA0646,1993.0,in Betrieb,Steinkohle,60.2,Ja,,GKM ,435.0,Grosskraftwerk Mannheim AG,2038,0.3572,A
79,Berechneter Zeitpunkt der Stillegung,BNA0020,1985.0,in Betrieb,Steinkohle,60.24,Ja,,Heizkraftwerk Altbach/Deizisau,433.0,EnBW Energie Baden-Württemberg AG,2030,0.357,A
80,Berechneter Zeitpunkt der Stillegung,BNA0645,1982.0,in Betrieb,Steinkohle,60.42,Ja,,GKM ,425.0,Grosskraftwerk Mannheim AG,2027,0.3561,A
81,Berechneter Zeitpunkt der Stillegung,BNA0216a,1988.0,in Betrieb,Steinkohle,61.69,Ja,,KW Walsum,370.0,Steag GmbH,2033,0.3496,A
82,Berechneter Zeitpunkt der Stillegung,BNA0147,1969.0,in Betrieb,Steinkohle,62.17,Nein,,Farge,350.0,GDF SUEZ Energie Deutschland AG,2014,0.3473,A
83,Von der BNetzA Terminiert,BNA0334,1971.0,in Betrieb,Steinkohle,62.29,Ja,,Scholven,345.0,E.ON Kraftwerke GmbH,2014,0.3467,A
84,Von der BNetzA Terminiert,BNA0333,1970.0,in Betrieb,Steinkohle,62.29,Ja,,Scholven,345.0,E.ON Kraftwerke GmbH,2014,0.3467,A
85,Von der BNetzA Terminiert,BNA0203,1971.0,in Betrieb,Steinkohle,62.29,Ja,,Knepper,345.0,E.ON Kraftwerke GmbH,2014,0.3467,A
86,Berechneter Zeitpunkt der Stillegung,BNA0331,1969.0,in Betrieb,Steinkohle,62.29,Ja,,Scholven,345.0,E.ON Kraftwerke GmbH,2014,0.3467,A
87,Berechneter Zeitpunkt der Stillegung,BNA0332,1968.0,in Betrieb,Steinkohle,62.29,Ja,,Scholven,345.0,E.ON Kraftwerke GmbH,2013,0.3467,A
88,Berechneter Zeitpunkt der Stillegung,BNA0019,1997.0,in Betrieb,Steinkohle,62.5,Ja,,Heizkraftwerk Altbach/Deizisau,336.0,EnBW Energie Baden-Württemberg AG,2042,0.3457,A
89,Berechneter Zeitpunkt der Stillegung,BNA0969b,1991.0,in Betrieb,Steinkohle,62.57,Ja,,Nord 2,333.0,SWM Services GmbH,2036,0.3453,A
90,Berechneter Zeitpunkt der Stillegung,BNA0619,1969.0,in Betrieb,Steinkohle,62.79,Ja,,KW Lünen,324.0,Steag GmbH,2014,0.3442,A
91,Von der BNetzA Terminiert,BNA0526,1970.0,in Betrieb,Steinkohle,62.82,Ja,,Gemeinschaftskraftwerk Kiel,323.0,Gemeinschaftskraftwerk Kiel GmbH,2015,0.3441,A
92,Berechneter Zeitpunkt der Stillegung,BNA0990,1971.0,in Betrieb,Steinkohle,62.84,Nein,,KW West,322.0,Steag GmbH,2016,0.344,A
93,Berechneter Zeitpunkt der Stillegung,BNA0989,1971.0,in Betrieb,Steinkohle,62.94,Nein,,KW West,318.0,Steag GmbH,2016,0.3435,A
94,Berechneter Zeitpunkt der Stillegung,BNA1037,1982.0,in Betrieb,Steinkohle,63.13,,,Kraftwerk Werdohl-Elverlingsen,310.0,Mark-E AG,2027,0.3426,A
95,Von der BNetzA Terminiert,BNA0813,1970.0,in Betrieb,Steinkohle,63.3,Nein,,Kraftwerk Veltheim,303.0,Gemeinschaftskraftwerk Veltheim GmbH,2015,0.3418,N
96,Berechneter Zeitpunkt der Stillegung,BNA0146,1979.0,in Betrieb,Steinkohle,63.38,Ja,,KW Hafen,300.0,swb Erzeugung GmbH & Co. KG,2024,0.3414,N
97,Berechneter Zeitpunkt der Stillegung,BNA0413a,1969.0,in Betrieb,Steinkohle,63.77,Nein,,Westfalen,284.0,RWE Generation SE,2014,0.3396,N
98,Berechneter Zeitpunkt der Stillegung,BNA0252,1971.0,in Betrieb,Steinkohle,63.8,Nein,,Kraftwerk Ensdorf,18.958000000002357,Gemeinschaft nach Bruchteilen der Saarstahl AG (SAG) und Saarschmiede GmbH Freiformschmiede (SSF),2016,0.3394,N
99,Berechneter Zeitpunkt der Stillegung,BNA0400,2009.0,in Betrieb,Erdgas,69.33,Ja,GuD,GuD Tiefstack,127.0,Vattenfall Europe Wärme Aktiengesellschaft,--,0.4921,A
100,Berechneter Zeitpunkt der Stillegung,BNA0857,1999.0,in Betrieb,Erdgas,69.65,Ja,GuD,GuD-Anlage Rüsselsheim,112.1,Adam Opel AG,--,0.4903,KWK
101,Berechneter Zeitpunkt der Stillegung,BNA0546,2004.0,in Betrieb,Erdgas,69.74,Ja,GuD,HKW Merkenich,108.0,RheinEnergie AG,--,0.4897,A
102,Berechneter Zeitpunkt der Stillegung,BNA0685,2005.0,in Betrieb,Erdgas,69.91,Ja,GuD,Heizkraftwerk Hafen,100.24,Stadtwerke Münster GmbH,--,0.4888,A
103,Berechneter Zeitpunkt der Stillegung,BNA0220,2000.0,in Betrieb,Erdgas,69.91,Ja,GuD,GuD,100.0,Stadtwerke Düsseldorf AG,--,0.4887,A
104,Berechneter Zeitpunkt der Stillegung,BNA0742,2005.0,in Betrieb,Erdgas,70.45,Ja,GuD,HKW Sandreuth,75.0,N-ERGIE AG,--,0.4856,A
105,Berechneter Zeitpunkt der Stillegung,BNA0743,2005.0,in Betrieb,Erdgas,70.45,Ja,GuD,HKW Sandreuth,75.0,N-ERGIE AG,--,0.4856,A
106,Berechneter Zeitpunkt der Stillegung,BNA0861a,2012.0,in Betrieb,Erdgas,70.45,Ja,GuD,HKW Römerbrücke,75.0,Energie SaarLorLux AG,--,0.4856,A
107,Berechneter Zeitpunkt der Stillegung,BNA0136,2010.0,in Betrieb,Erdgas,70.48,Ja,GuD,HKW-Mitte,74.0,Braunschweiger Versorgungs-AG & Co. KG,--,0.4855,A
108,Berechneter Zeitpunkt der Stillegung,BNA0293,1998.0,in Betrieb,Erdgas,70.78,Ja,GuD,GuD Anlage WVK,60.098,Solvay Acetow GmbH,--,0.4837,A
109,Berechneter Zeitpunkt der Stillegung,BNA0392b,2013.0,in Betrieb,Erdgas,70.92,Ja,GuD,HKW Halle Trotha,54.0,Heizkraftwerk Halle-Trotha GmbH,--,0.4829,A
110,Berechneter Zeitpunkt der Stillegung,BNA1337e,2013.0,in Betrieb,Erdgas,71.07,Ja,GuD,GuD-Anlage,47.0,DS Smith Paper Deutschland GmbH,--,0.4821,KWK
111,Von der BNetzA Terminiert,BNA0800,1980.0,in Betrieb,Erdgas,71.2,Ja,GuD,Heizkraftwerk Pforzheim GmbH,41.2,Heizkraftwerk Pforzheim GmbH,2016,0.4813,A
