,Load_2018
2018-04-09 00:00:00+02:00,41219.0
2018-04-09 01:00:00+02:00,39570.8
2018-04-09 02:00:00+02:00,38932.4
2018-04-09 03:00:00+02:00,39202.7
2018-04-09 04:00:00+02:00,40268.2
2018-04-09 05:00:00+02:00,42735.6
2018-04-09 06:00:00+02:00,47803.9
2018-04-09 07:00:00+02:00,51640.7
2018-04-09 08:00:00+02:00,53960.0
2018-04-09 09:00:00+02:00,55938.4
2018-04-09 10:00:00+02:00,57061.3
2018-04-09 11:00:00+02:00,58237.5
2018-04-09 12:00:00+02:00,58036.1
2018-04-09 13:00:00+02:00,57398.3
2018-04-09 14:00:00+02:00,56029.3
2018-04-09 15:00:00+02:00,54954.9
2018-04-09 16:00:00+02:00,53569.3
2018-04-09 17:00:00+02:00,53271.3
2018-04-09 18:00:00+02:00,53857.8
2018-04-09 19:00:00+02:00,54782.1
2018-04-09 20:00:00+02:00,55911.4
2018-04-09 21:00:00+02:00,53970.0
2018-04-09 22:00:00+02:00,51961.2
2018-04-09 23:00:00+02:00,48188.7
