,Load_2018
2018-01-13 00:00:00+01:00,50333.3
2018-01-13 01:00:00+01:00,47950.3
2018-01-13 02:00:00+01:00,46128.0
2018-01-13 03:00:00+01:00,45783.7
2018-01-13 04:00:00+01:00,45693.7
2018-01-13 05:00:00+01:00,45531.0
2018-01-13 06:00:00+01:00,46095.3
2018-01-13 07:00:00+01:00,49331.7
2018-01-13 08:00:00+01:00,53219.0
2018-01-13 09:00:00+01:00,55432.7
2018-01-13 10:00:00+01:00,56766.3
2018-01-13 11:00:00+01:00,58023.7
2018-01-13 12:00:00+01:00,58106.7
2018-01-13 13:00:00+01:00,57048.0
2018-01-13 14:00:00+01:00,55427.7
2018-01-13 15:00:00+01:00,54517.0
2018-01-13 16:00:00+01:00,55300.0
2018-01-13 17:00:00+01:00,59069.7
2018-01-13 18:00:00+01:00,59573.0
2018-01-13 19:00:00+01:00,57713.3
2018-01-13 20:00:00+01:00,53724.7
2018-01-13 21:00:00+01:00,52194.7
2018-01-13 22:00:00+01:00,51780.3
2018-01-13 23:00:00+01:00,49042.7
