,Load_2022
2022-07-09 00:00:00+02:00,43300.6
2022-07-09 01:00:00+02:00,41462.1
2022-07-09 02:00:00+02:00,40205.8
2022-07-09 03:00:00+02:00,39760.0
2022-07-09 04:00:00+02:00,39496.4
2022-07-09 05:00:00+02:00,39127.9
2022-07-09 06:00:00+02:00,41003.4
2022-07-09 07:00:00+02:00,44439.0
2022-07-09 08:00:00+02:00,48268.6
2022-07-09 09:00:00+02:00,50850.2
2022-07-09 10:00:00+02:00,52197.3
2022-07-09 11:00:00+02:00,53420.9
2022-07-09 12:00:00+02:00,52396.9
2022-07-09 13:00:00+02:00,50647.3
2022-07-09 14:00:00+02:00,49347.2
2022-07-09 15:00:00+02:00,48210.3
2022-07-09 16:00:00+02:00,47734.6
2022-07-09 17:00:00+02:00,48180.0
2022-07-09 18:00:00+02:00,48306.3
2022-07-09 19:00:00+02:00,47279.1
2022-07-09 20:00:00+02:00,45484.0
2022-07-09 21:00:00+02:00,44240.0
2022-07-09 22:00:00+02:00,43978.0
2022-07-09 23:00:00+02:00,41501.5
