,Load_2022
2022-12-16 00:00:00+01:00,50530.9
2022-12-16 01:00:00+01:00,48604.7
2022-12-16 02:00:00+01:00,47472.9
2022-12-16 03:00:00+01:00,47578.3
2022-12-16 04:00:00+01:00,48908.1
2022-12-16 05:00:00+01:00,51400.7
2022-12-16 06:00:00+01:00,58307.8
2022-12-16 07:00:00+01:00,64753.4
2022-12-16 08:00:00+01:00,67008.6
2022-12-16 09:00:00+01:00,66431.3
2022-12-16 10:00:00+01:00,67110.7
2022-12-16 11:00:00+01:00,67820.8
2022-12-16 12:00:00+01:00,67349.2
2022-12-16 13:00:00+01:00,66126.9
2022-12-16 14:00:00+01:00,64869.3
2022-12-16 15:00:00+01:00,64071.3
2022-12-16 16:00:00+01:00,65581.1
2022-12-16 17:00:00+01:00,67550.1
2022-12-16 18:00:00+01:00,65783.3
2022-12-16 19:00:00+01:00,63286.7
2022-12-16 20:00:00+01:00,59756.3
2022-12-16 21:00:00+01:00,57014.4
2022-12-16 22:00:00+01:00,55089.4
2022-12-16 23:00:00+01:00,51906.3
