,Load_2022
2022-10-01 00:00:00+02:00,41589.5
2022-10-01 01:00:00+02:00,39555.0
2022-10-01 02:00:00+02:00,38700.4
2022-10-01 03:00:00+02:00,38658.2
2022-10-01 04:00:00+02:00,38850.7
2022-10-01 05:00:00+02:00,38880.3
2022-10-01 06:00:00+02:00,40290.6
2022-10-01 07:00:00+02:00,42371.8
2022-10-01 08:00:00+02:00,45239.4
2022-10-01 09:00:00+02:00,47901.6
2022-10-01 10:00:00+02:00,49857.7
2022-10-01 11:00:00+02:00,51313.3
2022-10-01 12:00:00+02:00,51130.2
2022-10-01 13:00:00+02:00,49680.3
2022-10-01 14:00:00+02:00,47891.2
2022-10-01 15:00:00+02:00,46583.9
2022-10-01 16:00:00+02:00,45499.7
2022-10-01 17:00:00+02:00,45609.9
2022-10-01 18:00:00+02:00,46839.6
2022-10-01 19:00:00+02:00,49594.7
2022-10-01 20:00:00+02:00,47902.4
2022-10-01 21:00:00+02:00,44728.1
2022-10-01 22:00:00+02:00,43101.8
2022-10-01 23:00:00+02:00,40508.4
