,Load_2022
2022-12-27 00:00:00+01:00,43437.6
2022-12-27 01:00:00+01:00,41577.4
2022-12-27 02:00:00+01:00,40868.3
2022-12-27 03:00:00+01:00,40991.8
2022-12-27 04:00:00+01:00,41492.6
2022-12-27 05:00:00+01:00,42494.9
2022-12-27 06:00:00+01:00,44522.7
2022-12-27 07:00:00+01:00,48258.8
2022-12-27 08:00:00+01:00,51304.9
2022-12-27 09:00:00+01:00,53203.5
2022-12-27 10:00:00+01:00,54683.1
2022-12-27 11:00:00+01:00,55381.3
2022-12-27 12:00:00+01:00,55603.7
2022-12-27 13:00:00+01:00,54540.8
2022-12-27 14:00:00+01:00,53121.2
2022-12-27 15:00:00+01:00,52757.8
2022-12-27 16:00:00+01:00,55277.6
2022-12-27 17:00:00+01:00,57454.3
2022-12-27 18:00:00+01:00,56657.8
2022-12-27 19:00:00+01:00,54423.6
2022-12-27 20:00:00+01:00,51150.6
2022-12-27 21:00:00+01:00,49752.0
2022-12-27 22:00:00+01:00,48655.9
2022-12-27 23:00:00+01:00,45290.9
