,Load_2022
2022-01-15 00:00:00+01:00,49878.0
2022-01-15 01:00:00+01:00,47619.3
2022-01-15 02:00:00+01:00,46220.7
2022-01-15 03:00:00+01:00,45878.0
2022-01-15 04:00:00+01:00,45819.3
2022-01-15 05:00:00+01:00,45231.7
2022-01-15 06:00:00+01:00,45697.3
2022-01-15 07:00:00+01:00,48473.3
2022-01-15 08:00:00+01:00,52180.0
2022-01-15 09:00:00+01:00,54828.3
2022-01-15 10:00:00+01:00,56075.7
2022-01-15 11:00:00+01:00,56877.7
2022-01-15 12:00:00+01:00,56717.3
2022-01-15 13:00:00+01:00,55541.0
2022-01-15 14:00:00+01:00,54054.7
2022-01-15 15:00:00+01:00,53426.3
2022-01-15 16:00:00+01:00,54264.0
2022-01-15 17:00:00+01:00,58084.0
2022-01-15 18:00:00+01:00,59227.0
2022-01-15 19:00:00+01:00,57289.0
2022-01-15 20:00:00+01:00,53102.0
2022-01-15 21:00:00+01:00,51370.3
2022-01-15 22:00:00+01:00,51084.3
2022-01-15 23:00:00+01:00,48236.3
