,Load_2022
2022-07-26 00:00:00+02:00,44210.7
2022-07-26 01:00:00+02:00,42597.6
2022-07-26 02:00:00+02:00,41649.7
2022-07-26 03:00:00+02:00,41635.0
2022-07-26 04:00:00+02:00,42510.6
2022-07-26 05:00:00+02:00,45063.7
2022-07-26 06:00:00+02:00,51461.6
2022-07-26 07:00:00+02:00,56738.4
2022-07-26 08:00:00+02:00,60040.3
2022-07-26 09:00:00+02:00,61422.7
2022-07-26 10:00:00+02:00,63343.4
2022-07-26 11:00:00+02:00,64743.1
2022-07-26 12:00:00+02:00,63939.6
2022-07-26 13:00:00+02:00,63511.3
2022-07-26 14:00:00+02:00,62851.9
2022-07-26 15:00:00+02:00,61976.3
2022-07-26 16:00:00+02:00,60599.3
2022-07-26 17:00:00+02:00,59726.2
2022-07-26 18:00:00+02:00,58861.5
2022-07-26 19:00:00+02:00,57735.4
2022-07-26 20:00:00+02:00,55239.5
2022-07-26 21:00:00+02:00,53695.5
2022-07-26 22:00:00+02:00,51086.6
2022-07-26 23:00:00+02:00,47045.6
