,coal,gas,lignite,oil,other,pumped-storage,run-of-the-river,seasonal-store,uranium,Solar_Post,Wind_Post,Solar_Ante,Wind_Ante,Load Ahead,Load,Import,Export
2014-04-23 00:00:00+02:00,11289.9,1012.0,16223.5,150.0,42.1,280.4,360.5,102.6,10195.1,0.0,723.3,0.0,1240.3,44642.0,45189.0,2102.0,4346.0
2014-04-23 01:00:00+02:00,10889.8,1010.4,16168.5,149.0,42.3,215.4,363.4,99.8,10213.9,0.0,710.1,0.0,1173.4,43138.0,43467.0,1820.0,3558.0
2014-04-23 02:00:00+02:00,10240.5,994.0,16148.5,149.0,41.7,221.4,366.8,120.4,10218.8,0.0,696.8,0.0,1166.8,42632.0,42693.0,1955.0,3024.0
2014-04-23 03:00:00+02:00,9659.5,1012.1,16146.0,149.0,40.3,101.1,365.4,79.7,10211.3,0.0,662.2,0.0,1143.0,43100.0,43220.0,2441.0,2442.0
2014-04-23 04:00:00+02:00,10424.3,1006.9,16107.8,182.5,40.8,95.8,363.7,79.2,10222.8,0.0,809.2,0.0,1133.3,44042.0,44415.0,2616.0,2407.0
2014-04-23 05:00:00+02:00,12055.6,1001.4,16160.3,314.8,40.6,175.1,365.1,101.4,10228.0,2.3,863.8,5.3,1103.4,47148.0,47186.0,2267.0,2753.0
2014-04-23 06:00:00+02:00,13006.9,1017.7,16038.4,380.0,39.3,985.5,366.5,109.2,10227.9,381.0,844.7,296.0,1049.6,53351.0,52698.0,2372.0,2277.0
2014-04-23 07:00:00+02:00,13373.4,1139.0,15604.3,500.7,38.3,2952.0,370.9,127.0,10242.5,2633.4,839.8,2253.5,974.2,59088.0,58112.0,2577.0,2522.0
2014-04-23 08:00:00+02:00,13300.1,1095.0,15486.4,549.8,38.1,2859.8,375.2,123.7,10234.6,6987.8,631.5,6002.5,869.6,61385.0,59969.0,2290.0,3173.0
2014-04-23 09:00:00+02:00,13190.8,1082.0,15620.5,562.0,38.0,1920.3,382.9,108.6,10227.0,12071.6,385.2,10342.1,726.7,61030.0,60778.0,1781.0,4577.0
2014-04-23 10:00:00+02:00,12978.0,1144.4,15377.5,500.3,39.0,1056.3,391.4,98.5,10211.1,16619.8,389.6,14274.8,683.6,62494.0,61551.0,1672.0,5919.0
2014-04-23 11:00:00+02:00,12686.4,1122.3,15317.0,247.4,40.0,734.2,397.9,111.7,10198.9,19420.0,422.0,16959.8,628.2,63938.0,62450.0,1678.0,6159.0
2014-04-23 12:00:00+02:00,12761.5,1032.1,15186.6,245.9,40.0,438.5,406.9,103.2,10194.8,20095.0,535.0,17752.0,762.0,63814.0,62108.0,1608.0,6105.0
2014-04-23 13:00:00+02:00,12822.3,1032.0,15457.5,245.0,40.0,615.8,411.3,89.7,10186.3,18941.4,663.1,17610.1,828.8,62881.0,61755.0,1782.0,6052.0
2014-04-23 14:00:00+02:00,12613.5,1022.8,15524.7,231.6,40.0,509.1,407.4,112.6,10180.3,17124.2,910.2,16417.8,943.2,61270.0,60542.0,1854.0,6057.0
2014-04-23 15:00:00+02:00,12691.1,980.3,15213.7,205.0,43.0,663.7,410.4,102.2,10171.7,15023.8,1107.3,14316.5,1105.6,60092.0,59270.0,1828.0,5971.0
2014-04-23 16:00:00+02:00,12761.6,940.8,15230.6,204.0,41.1,1204.5,411.2,221.4,10176.5,12303.6,1424.2,11458.1,1293.8,58441.0,57568.0,1835.0,5616.0
2014-04-23 17:00:00+02:00,13000.9,1003.9,15302.1,204.0,41.0,1028.8,408.8,207.7,10174.5,8771.8,1990.8,7934.3,1567.0,57301.0,57321.0,1968.0,3520.0
2014-04-23 18:00:00+02:00,13181.4,1145.8,15557.8,204.0,41.1,1375.1,404.8,164.5,10178.3,4650.4,2359.2,4146.0,1901.7,56834.0,57469.0,2749.0,2416.0
2014-04-23 19:00:00+02:00,13397.0,1132.9,15393.0,204.0,41.2,1811.0,402.3,158.4,10186.0,1430.2,2601.8,1269.8,2251.9,57239.0,57317.0,3595.0,1874.0
2014-04-23 20:00:00+02:00,13223.3,1147.2,15376.0,162.0,40.0,1935.3,401.7,160.3,10183.4,129.4,2919.8,113.4,2619.0,57341.0,56791.0,3619.0,1729.0
2014-04-23 21:00:00+02:00,13390.7,1123.6,15262.6,149.0,41.0,945.9,398.6,182.8,10184.7,0.0,3081.0,0.2,2944.5,55285.0,55439.0,3663.0,1649.0
2014-04-23 22:00:00+02:00,13035.7,1092.4,15269.8,148.0,40.2,992.0,400.7,226.8,10193.7,0.0,3132.0,0.0,3191.3,51800.0,52490.0,2648.0,2945.0
2014-04-23 23:00:00+02:00,11976.0,999.1,15292.6,148.0,41.6,573.6,402.8,148.9,10198.0,0.0,2875.8,0.0,3304.6,47427.0,47976.0,2362.0,4140.0
