,coal,gas,lignite,oil,other,pumped-storage,run-of-the-river,seasonal-store,uranium,Solar_Post,Wind_Post,Solar_Ante,Wind_Ante,Load Ahead,Load,Import,Export
2014-06-07 00:00:00+02:00,5312.0,545.9,14745.6,155.0,49.0,558.5,866.3,112.9,9009.6,0.0,2739.3,0.0,2449.8,42875.0,42606.0,5271.0,1349.0
2014-06-07 01:00:00+02:00,3777.6,585.8,14704.5,155.0,49.0,487.4,870.3,81.2,9014.7,0.0,3050.2,0.0,2573.1,40430.0,40183.0,3142.0,1580.0
2014-06-07 02:00:00+02:00,2804.1,567.8,14608.7,154.0,50.0,211.6,877.4,137.7,9013.2,0.0,3113.6,0.0,2558.8,39212.0,38985.0,4582.0,1413.0
2014-06-07 03:00:00+02:00,2491.0,560.6,14435.6,154.0,49.0,303.8,875.4,373.7,8988.2,0.0,3080.5,0.0,2502.3,39116.0,38495.0,4530.0,1435.0
2014-06-07 04:00:00+02:00,2446.6,552.2,14418.0,153.0,49.0,286.5,866.1,127.1,8991.2,2.5,2780.1,10.4,2417.6,39228.0,38456.0,5000.0,1544.0
2014-06-07 05:00:00+02:00,2455.3,569.3,14410.8,152.0,49.0,205.7,866.3,144.4,8998.3,319.5,2483.5,342.4,2277.7,38584.0,38164.0,4967.0,1882.0
2014-06-07 06:00:00+02:00,2583.1,556.2,14212.4,152.0,48.0,395.0,870.1,153.8,9014.3,1873.1,2140.2,1840.9,2023.6,39610.0,39852.0,4983.0,1524.0
2014-06-07 07:00:00+02:00,2871.4,561.2,14236.4,152.0,46.0,509.6,869.0,194.5,9013.9,5337.5,1225.4,5172.4,1689.4,42551.0,43111.0,4832.0,952.0
2014-06-07 08:00:00+02:00,3047.0,541.3,14463.6,152.0,47.0,581.9,870.9,234.5,8995.2,10373.4,610.0,10127.7,1301.8,46437.0,46938.0,4444.0,1167.0
2014-06-07 09:00:00+02:00,3044.7,529.3,14369.7,152.0,47.0,579.5,870.5,405.8,8972.6,15423.4,513.4,15138.1,1039.1,49063.0,49915.0,3751.0,2360.0
2014-06-07 10:00:00+02:00,3035.0,513.1,14342.5,152.0,46.0,594.6,872.0,358.8,8954.7,19524.6,493.0,19371.4,881.6,50914.0,51920.0,3083.0,3358.0
2014-06-07 11:00:00+02:00,3237.2,526.2,13880.2,152.0,46.0,470.5,872.3,253.0,8913.2,22151.2,616.2,22226.5,775.2,51679.0,51983.0,2384.0,3947.0
2014-06-07 12:00:00+02:00,3302.0,523.3,13585.9,152.0,46.0,216.5,879.2,148.3,8857.7,23548.2,722.6,23745.2,798.3,51261.0,51211.0,1781.0,4062.0
2014-06-07 13:00:00+02:00,2636.4,550.8,13537.6,152.0,47.0,307.3,894.9,242.9,8788.8,23622.8,882.1,23961.6,851.1,50175.0,49726.0,1216.0,5092.0
2014-06-07 14:00:00+02:00,2362.2,559.0,14017.9,151.0,46.0,744.2,900.6,156.3,8802.0,22628.2,1121.4,22894.9,904.0,49425.0,48949.0,318.0,5451.0
2014-06-07 15:00:00+02:00,2729.3,571.0,14238.3,151.0,46.0,876.8,901.7,220.2,8872.0,20327.0,1119.5,20484.7,962.5,48301.0,48743.0,898.0,5234.0
2014-06-07 16:00:00+02:00,2976.9,569.2,14441.2,151.0,46.0,1239.5,903.3,329.0,8860.4,16232.2,1032.0,16672.2,1004.1,47354.0,47975.0,2264.0,4453.0
2014-06-07 17:00:00+02:00,3519.6,568.0,14611.6,152.0,46.0,1181.2,897.9,425.6,8859.7,11204.9,928.6,11830.0,1051.4,47123.0,47605.0,4034.0,2562.0
2014-06-07 18:00:00+02:00,3831.6,567.7,14647.5,153.0,46.0,1018.4,890.9,440.4,8860.7,6404.5,926.0,6884.9,1137.4,47085.0,47048.0,6610.0,302.0
2014-06-07 19:00:00+02:00,4036.6,568.0,14620.6,153.0,45.0,1072.0,893.5,223.5,8853.0,2974.4,991.6,3041.6,1326.9,46192.0,46416.0,8649.0,224.0
2014-06-07 20:00:00+02:00,3971.9,558.2,14651.0,152.0,46.0,1135.1,897.7,117.9,8815.7,1039.9,1244.9,841.4,1642.3,43813.0,44694.0,8560.0,383.0
2014-06-07 21:00:00+02:00,3751.7,553.1,14682.3,152.0,47.0,1005.9,893.2,169.1,8842.1,106.4,1885.4,57.4,2095.9,43059.0,43296.0,7158.0,570.0
2014-06-07 22:00:00+02:00,3872.2,557.0,14651.0,153.0,47.0,1524.9,889.7,475.0,8868.0,0.0,2596.3,0.1,2631.6,43775.0,43484.0,6076.0,506.0
2014-06-07 23:00:00+02:00,3198.2,557.0,14625.7,154.8,48.0,881.2,895.6,145.1,8866.0,0.0,3020.1,0.0,3073.7,41097.0,40625.0,4794.0,321.0
