,coal,gas,lignite,oil,other,pumped-storage,run-of-the-river,seasonal-store,uranium,Solar_Post,Wind_Post,Solar_Ante,Wind_Ante,Load Ahead,Load,Import,Export
2014-12-22 00:00:00+01:00,2667.0,2127.5,7430.7,219.0,55.2,304.4,48.0,82.4,8338.5,0.0,27513.0,0.0,26223.6,45058.0,46238.0,2339.0,7281.0
2014-12-22 01:00:00+01:00,2570.5,2078.1,7353.3,219.0,55.2,245.8,47.3,94.0,8369.3,0.0,27491.4,0.0,26560.6,43417.0,44329.0,2247.0,8144.0
2014-12-22 02:00:00+01:00,2578.4,2037.5,7197.6,219.0,55.0,87.5,47.3,77.9,8407.3,0.0,27542.9,0.0,26901.7,42491.0,43661.0,2279.0,8103.0
2014-12-22 03:00:00+01:00,2579.1,1996.7,7244.4,218.0,54.2,109.1,47.5,21.2,8343.0,0.0,27578.9,0.0,27254.4,42509.0,43706.0,2208.0,8160.0
2014-12-22 04:00:00+01:00,2681.0,2095.5,7189.5,218.0,53.0,236.6,47.6,22.1,8761.3,0.0,27638.4,0.0,27523.2,43789.0,44653.0,2277.0,8001.0
2014-12-22 05:00:00+01:00,2965.5,2167.6,7199.2,219.0,51.8,256.8,46.9,72.6,9911.9,0.0,27724.9,0.0,27717.9,46312.0,46096.0,2313.0,8459.0
2014-12-22 06:00:00+01:00,3750.8,2292.4,7628.3,220.0,51.8,432.4,80.7,137.6,10700.7,0.0,28456.3,0.0,27825.6,50405.0,49965.0,2465.0,8977.0
2014-12-22 07:00:00+01:00,4510.3,2549.5,8707.8,218.0,50.6,1184.9,91.6,206.4,11111.4,0.1,28356.9,0.0,27881.0,55163.0,55282.0,2261.0,8291.0
2014-12-22 08:00:00+01:00,4897.2,2732.4,9056.1,216.0,49.5,1611.9,92.6,373.8,11405.7,178.6,28544.0,143.3,27996.8,59024.0,58299.0,2113.0,7145.0
2014-12-22 09:00:00+01:00,5143.8,2750.2,9336.9,217.0,50.5,1741.6,92.3,239.9,11476.2,1147.3,28798.2,1002.4,28114.6,60293.0,59346.0,1948.0,7254.0
2014-12-22 10:00:00+01:00,5065.3,2690.8,9529.6,217.0,51.7,1418.0,94.0,202.0,11497.8,2304.0,29144.6,2098.2,28156.6,61673.0,60026.0,1921.0,7722.0
2014-12-22 11:00:00+01:00,5055.4,2675.7,9698.1,217.0,50.4,1351.1,95.6,138.6,11530.5,2894.5,29020.8,2837.9,28189.4,63651.0,60464.0,1915.0,7503.0
2014-12-22 12:00:00+01:00,5368.1,2717.9,9737.1,217.0,51.4,1190.5,94.1,191.2,11543.6,3018.8,29153.8,3031.3,28278.4,63418.0,60176.0,1831.0,7867.0
2014-12-22 13:00:00+01:00,5674.5,2691.5,9587.1,314.4,50.8,1016.6,95.1,144.1,11589.9,2801.9,29094.0,2661.1,28277.6,62182.0,59491.0,1989.0,8204.0
2014-12-22 14:00:00+01:00,5700.7,2688.6,9475.1,367.0,51.7,1004.5,95.5,89.1,11526.6,1848.1,28917.0,1822.1,28217.8,61555.0,58825.0,2375.0,7955.0
2014-12-22 15:00:00+01:00,6130.1,2725.7,9468.4,318.6,51.8,1383.5,95.3,79.3,11579.9,595.2,28828.0,750.6,28068.7,61599.0,58985.0,2428.0,7895.0
2014-12-22 16:00:00+01:00,6477.3,2743.3,9409.6,488.1,53.4,2269.7,94.1,204.4,11551.0,35.0,28531.2,95.2,27894.0,62147.0,60962.0,2634.0,7475.0
2014-12-22 17:00:00+01:00,6440.1,2767.3,9261.9,574.1,56.4,2938.6,93.9,68.2,11670.1,0.0,28396.4,0.0,27690.2,64275.0,62676.0,2103.0,5904.0
2014-12-22 18:00:00+01:00,6432.4,2780.8,9258.4,575.1,54.5,2760.6,92.9,120.1,11908.0,0.0,27772.7,0.0,27422.0,64174.0,61644.0,1630.0,6104.0
2014-12-22 19:00:00+01:00,6338.4,2774.1,9340.7,446.4,53.5,2378.4,92.8,179.9,11883.3,0.0,27742.6,0.0,27178.6,62214.0,59748.0,1462.0,6802.0
2014-12-22 20:00:00+01:00,5943.1,2613.5,9214.4,220.1,52.5,1303.0,92.4,102.7,11884.8,0.0,27471.1,0.0,26868.0,59659.0,55897.0,2033.0,7968.0
2014-12-22 21:00:00+01:00,5629.5,2497.4,8440.0,218.0,52.4,567.4,89.1,93.1,11833.8,0.0,27554.3,0.0,26573.2,57587.0,53830.0,2525.0,7891.0
2014-12-22 22:00:00+01:00,5289.6,2334.5,8096.3,217.0,54.2,500.4,87.4,52.5,11710.7,0.0,27432.0,0.0,26290.4,55007.0,52115.0,2452.0,8209.0
2014-12-22 23:00:00+01:00,4031.2,2234.0,7594.5,217.0,53.5,232.8,87.8,99.0,10975.2,0.0,27524.8,0.0,25947.7,51039.0,48634.0,2457.0,8564.0
