,Load_2028
2028-01-16 00:00:00+01:00,45495.0
2028-01-16 01:00:00+01:00,43563.3
2028-01-16 02:00:00+01:00,42226.3
2028-01-16 03:00:00+01:00,41843.7
2028-01-16 04:00:00+01:00,41848.7
2028-01-16 05:00:00+01:00,41169.7
2028-01-16 06:00:00+01:00,40532.0
2028-01-16 07:00:00+01:00,41394.7
2028-01-16 08:00:00+01:00,43141.7
2028-01-16 09:00:00+01:00,45965.3
2028-01-16 10:00:00+01:00,48144.0
2028-01-16 11:00:00+01:00,50394.0
2028-01-16 12:00:00+01:00,51320.7
2028-01-16 13:00:00+01:00,49882.7
2028-01-16 14:00:00+01:00,48528.7
2028-01-16 15:00:00+01:00,48174.3
2028-01-16 16:00:00+01:00,49502.7
2028-01-16 17:00:00+01:00,53982.3
2028-01-16 18:00:00+01:00,56221.7
2028-01-16 19:00:00+01:00,54850.3
2028-01-16 20:00:00+01:00,52680.0
2028-01-16 21:00:00+01:00,51419.7
2028-01-16 22:00:00+01:00,52257.7
2028-01-16 23:00:00+01:00,49725.0
