,Load_2028
2028-05-22 00:00:00+02:00,37970.6
2028-05-22 01:00:00+02:00,36464.7
2028-05-22 02:00:00+02:00,35983.6
2028-05-22 03:00:00+02:00,36250.3
2028-05-22 04:00:00+02:00,37215.7
2028-05-22 05:00:00+02:00,39616.7
2028-05-22 06:00:00+02:00,44954.7
2028-05-22 07:00:00+02:00,49625.2
2028-05-22 08:00:00+02:00,52654.4
2028-05-22 09:00:00+02:00,54392.7
2028-05-22 10:00:00+02:00,56116.8
2028-05-22 11:00:00+02:00,57623.9
2028-05-22 12:00:00+02:00,57873.0
2028-05-22 13:00:00+02:00,56976.1
2028-05-22 14:00:00+02:00,55722.4
2028-05-22 15:00:00+02:00,54620.7
2028-05-22 16:00:00+02:00,53212.3
2028-05-22 17:00:00+02:00,52774.0
2028-05-22 18:00:00+02:00,52761.5
2028-05-22 19:00:00+02:00,52694.8
2028-05-22 20:00:00+02:00,51341.1
2028-05-22 21:00:00+02:00,50763.2
2028-05-22 22:00:00+02:00,49341.7
2028-05-22 23:00:00+02:00,45008.3
