,Load_2028
2028-12-05 00:00:00+01:00,50372.7
2028-12-05 01:00:00+01:00,48277.0
2028-12-05 02:00:00+01:00,47508.3
2028-12-05 03:00:00+01:00,47368.1
2028-12-05 04:00:00+01:00,48639.3
2028-12-05 05:00:00+01:00,51845.6
2028-12-05 06:00:00+01:00,59212.0
2028-12-05 07:00:00+01:00,65545.0
2028-12-05 08:00:00+01:00,68050.7
2028-12-05 09:00:00+01:00,66809.7
2028-12-05 10:00:00+01:00,67371.6
2028-12-05 11:00:00+01:00,68057.1
2028-12-05 12:00:00+01:00,67668.8
2028-12-05 13:00:00+01:00,67535.3
2028-12-05 14:00:00+01:00,67085.5
2028-12-05 15:00:00+01:00,66108.9
2028-12-05 16:00:00+01:00,67454.9
2028-12-05 17:00:00+01:00,70074.6
2028-12-05 18:00:00+01:00,69184.9
2028-12-05 19:00:00+01:00,67244.1
2028-12-05 20:00:00+01:00,63469.3
2028-12-05 21:00:00+01:00,60333.5
2028-12-05 22:00:00+01:00,57481.7
2028-12-05 23:00:00+01:00,53504.7
