,Load_2027
2027-12-05 00:00:00+01:00,45501.7
2027-12-05 01:00:00+01:00,43436.4
2027-12-05 02:00:00+01:00,42394.6
2027-12-05 03:00:00+01:00,42187.6
2027-12-05 04:00:00+01:00,42348.2
2027-12-05 05:00:00+01:00,42180.0
2027-12-05 06:00:00+01:00,41946.7
2027-12-05 07:00:00+01:00,43986.7
2027-12-05 08:00:00+01:00,46348.0
2027-12-05 09:00:00+01:00,49743.1
2027-12-05 10:00:00+01:00,51912.3
2027-12-05 11:00:00+01:00,54214.3
2027-12-05 12:00:00+01:00,54423.2
2027-12-05 13:00:00+01:00,53029.5
2027-12-05 14:00:00+01:00,51786.3
2027-12-05 15:00:00+01:00,51628.8
2027-12-05 16:00:00+01:00,53279.1
2027-12-05 17:00:00+01:00,56826.4
2027-12-05 18:00:00+01:00,57697.7
2027-12-05 19:00:00+01:00,56645.7
2027-12-05 20:00:00+01:00,54580.1
2027-12-05 21:00:00+01:00,53222.3
2027-12-05 22:00:00+01:00,53537.2
2027-12-05 23:00:00+01:00,50328.8
