,Load_2019
2019-09-13 00:00:00+02:00,43942.3
2019-09-13 01:00:00+02:00,42660.8
2019-09-13 02:00:00+02:00,41880.7
2019-09-13 03:00:00+02:00,42134.7
2019-09-13 04:00:00+02:00,43189.5
2019-09-13 05:00:00+02:00,46395.3
2019-09-13 06:00:00+02:00,53886.7
2019-09-13 07:00:00+02:00,59230.3
2019-09-13 08:00:00+02:00,62329.6
2019-09-13 09:00:00+02:00,63065.3
2019-09-13 10:00:00+02:00,64189.5
2019-09-13 11:00:00+02:00,64523.0
2019-09-13 12:00:00+02:00,63512.6
2019-09-13 13:00:00+02:00,62045.7
2019-09-13 14:00:00+02:00,60757.2
2019-09-13 15:00:00+02:00,59191.7
2019-09-13 16:00:00+02:00,58069.3
2019-09-13 17:00:00+02:00,57408.8
2019-09-13 18:00:00+02:00,57000.8
2019-09-13 19:00:00+02:00,56940.6
2019-09-13 20:00:00+02:00,56217.5
2019-09-13 21:00:00+02:00,52702.7
2019-09-13 22:00:00+02:00,49358.3
2019-09-13 23:00:00+02:00,45884.0
