,Load_2025
2025-03-15 00:00:00+01:00,49418.3
2025-03-15 01:00:00+01:00,47547.3
2025-03-15 02:00:00+01:00,46323.5
2025-03-15 03:00:00+01:00,46050.3
2025-03-15 04:00:00+01:00,46112.7
2025-03-15 05:00:00+01:00,46255.2
2025-03-15 06:00:00+01:00,46357.7
2025-03-15 07:00:00+01:00,48994.6
2025-03-15 08:00:00+01:00,52968.3
2025-03-15 09:00:00+01:00,55960.7
2025-03-15 10:00:00+01:00,57968.6
2025-03-15 11:00:00+01:00,58484.3
2025-03-15 12:00:00+01:00,57798.6
2025-03-15 13:00:00+01:00,56057.2
2025-03-15 14:00:00+01:00,54612.9
2025-03-15 15:00:00+01:00,53526.9
2025-03-15 16:00:00+01:00,52779.0
2025-03-15 17:00:00+01:00,53328.2
2025-03-15 18:00:00+01:00,56231.5
2025-03-15 19:00:00+01:00,56937.8
2025-03-15 20:00:00+01:00,53476.5
2025-03-15 21:00:00+01:00,50997.0
2025-03-15 22:00:00+01:00,50472.7
2025-03-15 23:00:00+01:00,47480.7
