BNetzA_ID;Baujahr;Betriebstand;Energietraeger;Geplante_Stillegung;KWK;Kraftwerksname;Leistung;Unternehmen;Voraus_Stillegung
BNA0157;1986;in Betrieb;Kernenergie;2021;Nein;Brokdorf;1410.0;E.ON Kernkraft GmbH;
BNA0251;1985;in Betrieb;Kernenergie;2021;Nein;Grohnde;1360.0;E.ON Kernkraft GmbH;
BNA0263;1988;in Betrieb;Kernenergie;2022;Nein;Isar 2;1410.0;E.ON Kernkraft GmbH;
BNA0355;1982;in Betrieb;Kernenergie;2015;Nein;Grafenrheinfeld;1275.0;E.ON Kernkraft GmbH;
BNA0381;1984;in Betrieb;Kernenergie;2021;Nein;Kernkraft Gundremmingen ;1284.0;Kernkraftwerk Gundremmingen GmbH (KGG);
BNA0382;1984;in Betrieb;Kernenergie;2017;Nein;Kernkraft Gundremmingen ;1288.0;Kernkraftwerk Gundremmingen GmbH (KGG);
BNA0607;1988;in Betrieb;Kernenergie;2022;Nein;Kernkraftwerk Emsland;1329.0;Kernkraftwerke Lippe-Ems GmbH (KLE);
BNA0686;1989;in Betrieb;Kernenergie;2022;Nein;Gemeinschaftskernkraftwerk Neckarwestheim II;1310.0;EnBW Energie Baden-Wí_rttemberg AG;
BNA0802;1985;in Betrieb;Kernenergie;2019;Nein;Kernkraftwerk Philippsburg 2;1402.0;EnBW Energie Baden-Wí_rttemberg AG;
