BNetzA_ID,Anmerkung,Baujahr,Betriebstand,Energietraeger,KWK,Kraftwerksart,Kraftwerksname,Leistung,Unternehmen,Voraus_Stillegung
BNA0974,"Keine Stillegung, da KWK-Betrieb",1943,in Betrieb,Pumpspeicher,nein,,Rodundwerk I,198.0,EnBW Energie Baden-Württemberg AG,--
BNA0975,"Keine Stillegung, da KWK-Betrieb",2012,in Betrieb,Pumpspeicher,nein,,Rodundwerk II,295.0,EnBW Energie Baden-Württemberg AG,--
BNA0978,"Keine Stillegung, da KWK-Betrieb",1964,in Betrieb,Pumpspeicher,Nein,,PSW Vianden,100.0,Société Electrique de l'Our S.A.,--
BNA0979,"Keine Stillegung, da KWK-Betrieb",1964,in Betrieb,Pumpspeicher,Nein,,PSW Vianden,100.0,Société Electrique de l'Our S.A.,--
BNA0980,"Keine Stillegung, da KWK-Betrieb",1963,in Betrieb,Pumpspeicher,Nein,,PSW Vianden,100.0,Société Electrique de l'Our S.A.,--
BNA0981,"Keine Stillegung, da KWK-Betrieb",1964,in Betrieb,Pumpspeicher,Nein,,PSW Vianden,100.0,Société Electrique de l'Our S.A.,--
BNA0982,"Keine Stillegung, da KWK-Betrieb",1962,in Betrieb,Pumpspeicher,Nein,,PSW Vianden,100.0,Société Electrique de l'Our S.A.,--
BNA0983,"Keine Stillegung, da KWK-Betrieb",1962,in Betrieb,Pumpspeicher,Nein,,PSW Vianden,100.0,Société Electrique de l'Our S.A.,--
BNA0984,"Keine Stillegung, da KWK-Betrieb",1963,in Betrieb,Pumpspeicher,Nein,,PSW Vianden,100.0,Société Electrique de l'Our S.A.,--
BNA0985,"Keine Stillegung, da KWK-Betrieb",1963,in Betrieb,Pumpspeicher,Nein,,PSW Vianden,100.0,Société Electrique de l'Our S.A.,--
BNA0986,"Keine Stillegung, da KWK-Betrieb",1963,in Betrieb,Pumpspeicher,Nein,,PSW Vianden,100.0,Société Electrique de l'Our S.A.,--
BNA0987,"Keine Stillegung, da KWK-Betrieb",1975,in Betrieb,Pumpspeicher,Nein,,PSW Vianden,196.0,Société Electrique de l'Our S.A.,--
BNA0989,Berechneter Zeitpunkt der Stillegung,1971,in Betrieb,Steinkohle,Nein,,KW West,318.0,Steag GmbH,2016
BNA0990,Berechneter Zeitpunkt der Stillegung,1971,in Betrieb,Steinkohle,Nein,,KW West,322.0,Steag GmbH,2016
BNA0991,Berechneter Zeitpunkt der Stillegung,1982,in Betrieb,Steinkohle,Nein,,KW Voerde,695.0,Steag GmbH,2027
BNA0992,Berechneter Zeitpunkt der Stillegung,1985,in Betrieb,Steinkohle,Nein,,KW Voerde,695.0,Steag GmbH,2030
BNA0993,Von der BNetzA Terminiert,1974,Reservekraftwerk,Erdgas,Nein,,Irsching,415.0,E.ON Kraftwerke GmbH,2016
BNA0994,Berechneter Zeitpunkt der Stillegung,2010,in Betrieb,Erdgas,Nein,,Gemeinschaftskraftwerk Irsching ,846.0,Gemeinschaftskraftwerk Irsching GmbH,2050
BNA0995,Berechneter Zeitpunkt der Stillegung,2011,in Betrieb,Erdgas,Nein,,"Ulrich Hartmann
(Irsching)",545.0,E.ON Kraftwerke GmbH,2051
BNA0996,"Keine Stillegung, da KWK-Betrieb",1992,in Betrieb,Laufwasser,Nein,,Vohburg,23.3,Donau-Wasserkraft AG,--
BNA0998,Berechneter Zeitpunkt der Stillegung,1982,in Betrieb,Steinkohle,ja,,Modellkraftwerk,179.0,STEAG Power Saar GmbH,2027
BNA0999,Berechneter Zeitpunkt der Stillegung,1989,in Betrieb,Steinkohle,ja,,Heizkraftwerk,211.0,STEAG Power Saar GmbH,2034
BNA1002,Berechneter Zeitpunkt der Stillegung,1994,in Betrieb,Braunkohle,Ja,,Wählitz,31.0,Mitteldeutsche Braunkohlengesellschaft mbH,2039
BNA1003,"Keine Stillegung, da KWK-Betrieb",1951,in Betrieb,Pumpspeicher,Nein,,Kraftwerk Waldshut,150.0,Schluchseewerk Aktiengesellschaft,--
BNA1004,Berechneter Zeitpunkt der Stillegung,1981,in Betrieb,Mineralölprodukte,Nein,,Kraftwerk Walheim,136.0,EnBW Energie Baden-Württemberg AG,2026
BNA1005,Berechneter Zeitpunkt der Stillegung,1964,Reservekraftwerk,Steinkohle,Nein,,Kraftwerk Walheim,96.0,EnBW Energie Baden-Württemberg AG,2009
BNA1006,Berechneter Zeitpunkt der Stillegung,1967,Reservekraftwerk,Steinkohle,Nein,,Kraftwerk Walheim,148.0,EnBW Energie Baden-Württemberg AG,2012
BNA1007a,Berechneter Zeitpunkt der Stillegung,1988,in Betrieb,Mineralölprodukte,Nein,,SKW Gasturbine,24.0,Allgäuer Überlandwerk GmbH,2033
BNA1007b,Berechneter Zeitpunkt der Stillegung,1978,in Betrieb,Mineralölprodukte,Nein,,SKW Diesel,10.5,Allgäuer Überlandwerk GmbH,2023
BNA1008,"Keine Stillegung, da KWK-Betrieb",1930,in Betrieb,Laufwasser,Nein,,Uppenborn 1,25.0,Stadtwerke München GmbH,--
BNA1013,"Keine Stillegung, da KWK-Betrieb",1938,in Betrieb,Laufwasser,Nein,,Wasserburg,24.1,VERBUND-Innkraftwerke GmbH,--
BNA1015,Berechneter Zeitpunkt der Stillegung,1972,in Betrieb,Mineralölprodukte,Nein,,Wedel,50.5,Vattenfall Europe Generation AG,2017
BNA1016,Berechneter Zeitpunkt der Stillegung,1972,in Betrieb,Mineralölprodukte,Nein,,Wedel,50.5,Vattenfall Europe Generation AG,2017
BNA1019,"Keine Stillegung, da KWK-Betrieb",1975,in Betrieb,Pumpspeicher,Nein,,Wehr,910.0,Schluchseewerk Aktiengesellschaft,--
BNA1020,"Keine Stillegung, da KWK-Betrieb",1996,in Betrieb,Abfall,Ja,,MVA Weisweiler,24.0,RWE Power AG,--
BNA1023,Berechneter Zeitpunkt der Stillegung,2006,vorläufig stillgelegt,Erdgas,Nein,,Weisweiler,272.0,RWE Power AG,2046
BNA1024,Berechneter Zeitpunkt der Stillegung,2006,vorläufig stillgelegt,Erdgas,Nein,,Weisweiler,272.0,RWE Power AG,2046
BNA1025,Berechneter Zeitpunkt der Stillegung,1965,in Betrieb,Braunkohle,Nein,,Weisweiler,312.0,RWE Power AG,2010
BNA1026,Berechneter Zeitpunkt der Stillegung,1967,in Betrieb,Braunkohle,Nein,,Weisweiler,304.0,RWE Power AG,2012
BNA1027,Berechneter Zeitpunkt der Stillegung,1974,in Betrieb,Braunkohle,Ja,,Weisweiler,592.0,RWE Power AG,2019
