BNetzA_ID,Anmerkung,Baujahr,Betriebstand,Energietraeger,KWK,Kraftwerksart,Kraftwerksname,Leistung,Unternehmen,Voraus_Stillegung
BNA1186c,"Keine Stillegung, da KWK-Betrieb",1976,in Betrieb,Abfall,Ja,,MKVA Krefeld,1.5,EGK Entsorgungsgesellschaft Krefeld GmbH & Co.KG,--
BNA1186d,"Keine Stillegung, da KWK-Betrieb",1997,in Betrieb,Abfall,Ja,,MKVA Krefeld,2.8,EGK Entsorgungsgesellschaft Krefeld GmbH & Co.KG,--
BNA1186e,"Keine Stillegung, da KWK-Betrieb",1976,in Betrieb,Abfall,Ja,,MKVA Krefeld,1.5,EGK Entsorgungsgesellschaft Krefeld GmbH & Co.KG,--
BNA1187,Berechneter Zeitpunkt der Stillegung,1980,in Betrieb,Erdgas,ja,,P&L Werk Lage,10.2,Pfeifer & Langen Kommanditgesellschaft,--
BNA1189,"Keine Stillegung, da KWK-Betrieb",1965,in Betrieb,Laufwasser,nan,,Faimingen,10.1,Obere Donau Kraftwerke AG,--
BNA1190,"Keine Stillegung, da KWK-Betrieb",2004,in Betrieb,Abfall,Ja,,Thermische Abfallbehandlung Lauta GmbH & Co. oHG,15.7,Thermische Abfallbehandlung Lauta GmbH & Co. oHG,--
BNA1191,"Keine Stillegung, da KWK-Betrieb",1966,in Betrieb,Laufwasser,Nein,,Urspring,10.1,E.ON Kraftwerke GmbH,--
BNA1192,"Keine Stillegung, da KWK-Betrieb",1971,in Betrieb,Laufwasser,Nein,,Prem,19.2,E.ON Kraftwerke GmbH,--
BNA1193,Berechneter Zeitpunkt der Stillegung,2002,in Betrieb,Erdgas,ja,,HKW-West,12.8,Stadtwerke Lemgo GmbH,--
BNA1196a,Berechneter Zeitpunkt der Stillegung,2008,in Betrieb,Erdgas,Ja,,BHKW Ludwigshafen,12.4561730051,MVV Energie AG,--
BNA1196b,Berechneter Zeitpunkt der Stillegung,2003,in Betrieb,Erdgas,Ja,GuD,Industriekraftwerk Ludwigshafen,11.96,MVV Energie AG,--
BNA1197,"Keine Stillegung, da KWK-Betrieb",1954,in Betrieb,Abfall,Ja,,FHKW Ludwigshafen,28.7,Technische Werke Ludwigshafen AG,--
BNA1198,"Keine Stillegung, da KWK-Betrieb",2005,in Betrieb,Abfall,ja,,SITA Abfallverwertung GmbH ,25.378,SITA Abfallverwertung GmbH,--
BNA1199,"Keine Stillegung, da KWK-Betrieb",2009,in Betrieb,Abfall,Ja,,MHKW Mainz,15.6,Entsorgungsgesellschaft Mainz mbH,--
BNA1200,Berechneter Zeitpunkt der Stillegung,2005,in Betrieb,Erdgas,Ja,,GuD-Kraftwerk,17.2,Energie- und Medienversorgung Sandhofer Straße GmbH & Co. KG,--
BNA1209,"Keine Stillegung, da KWK-Betrieb",1922,in Betrieb,Laufwasser,Nein,,Meitingen,11.3,Bayerische Elektrizitätswerke GmbH,--
BNA1210,"Keine Stillegung, da KWK-Betrieb",1978,in Betrieb,Laufwasser,Nein,,Merching,12.0,E.ON Kraftwerke GmbH,--
BNA1212,Berechneter Zeitpunkt der Stillegung,1988,in Betrieb,Mineralölprodukte,Nein,,DKW Nord,11.4,Vereinigte Wertach-Elektrizitätswerke GmbH,2033
BNA1213,"Keine Stillegung, da KWK-Betrieb",1929,in Betrieb,Laufwasser,Nein,,Pfrombach,22.3,E.ON Kraftwerke GmbH,--
BNA1214,"Keine Stillegung, da KWK-Betrieb",1965,in Betrieb,Laufwasser,Nein,,Müden,16.4,RWE Innogy GmbH,--
BNA1216,"Keine Stillegung, da KWK-Betrieb",1966,in Betrieb,Laufwasser,Nein,,Neef,16.4,RWE Innogy GmbH,--
BNA1217,"Keine Stillegung, da KWK-Betrieb",1951,in Betrieb,Laufwasser,Nein,,Niederaichbach,16.2,E.ON Kraftwerke GmbH,--
BNA1219,"Keine Stillegung, da KWK-Betrieb",1957,in Betrieb,Laufwasser,Nein,,Gummering,14.8,E.ON Kraftwerke GmbH,--
BNA1220,"Keine Stillegung, da KWK-Betrieb",1924,in Betrieb,Laufwasser,Nein,,Aufkirchen,27.0,E.ON Kraftwerke GmbH,--
BNA1221,"Keine Stillegung, da KWK-Betrieb",1954,in Betrieb,Laufwasser,Nein,,Oberpeiching,11.9,Rhein-Main-Donau AG,--
BNA1222,"Keine Stillegung, da KWK-Betrieb",1972,in Betrieb,Abfall,ja,,Müllheizkraftwerk Offenbach,10.4,Energieversorgung Offenbach AG,--
BNA1225,Berechneter Zeitpunkt der Stillegung,1989,in Betrieb,Erdgas,Ja,,PWG,5.3,Bayerische Elektrizitätswerke GmbH,--
BNA1226,Berechneter Zeitpunkt der Stillegung,1987,in Betrieb,Erdgas,Ja,,PWG,5.3,Bayerische Elektrizitätswerke GmbH,--
BNA1227,Berechneter Zeitpunkt der Stillegung,1983,in Betrieb,Mineralölprodukte,Nein,,DKW Leinau,11.4,Vereinigte Wertach-Elektrizitätswerke GmbH,2028
BNA1228,"Keine Stillegung, da KWK-Betrieb",1984,in Betrieb,Laufwasser,Nein,,Landau,12.6,E.ON Kraftwerke GmbH,--
BNA1229,"Keine Stillegung, da KWK-Betrieb",1999,in Betrieb,Abfall,Ja,,MHKW Pirmasens,15.0,EEW Energy from Waste Saarbrücken GmbH,--
BNA1230,"Keine Stillegung, da KWK-Betrieb",1994,in Betrieb,Laufwasser,Nein,,Pielweichs,12.6,E.ON Kraftwerke GmbH,--
BNA1232,"Keine Stillegung, da KWK-Betrieb",2002,in Betrieb,Abfall,Nein,,ZWSF,2.5,EEW Energy from Waste Premnitz GmbH,--
BNA1233,"Keine Stillegung, da KWK-Betrieb",2009,in Betrieb,Abfall,Ja,,EVE,14.5,EEW Energy from Waste Premnitz GmbH,--
BNA1234,"Keine Stillegung, da KWK-Betrieb",1984,in Betrieb,Laufwasser,Nein,,Prittriching,12.1,E.ON Kraftwerke GmbH,--
BNA1235,"Keine Stillegung, da KWK-Betrieb",1955,in Betrieb,Laufwasser,Nein,,Rain,10.9,Rhein-Main-Donau AG,--
BNA1238,Berechneter Zeitpunkt der Stillegung,2000,in Betrieb,Erdgas,ja,,Kraftwerk Meggle,12.6,Molkerei MEGGLE Wasserburg GmbH & Co. KG,--
BNA1239,"Keine Stillegung, da KWK-Betrieb",1967,in Betrieb,Laufwasser,Nein,,Bertoldsheim,18.9,Donau-Wasserkraft AG,--
BNA1243,"Keine Stillegung, da KWK-Betrieb",2009,in Betrieb,Abfall,Ja,,EBS-HKW Rostock,17.0,Vattenfall Europe New Energy Ecopower GmbH,--
BNA1244,"Keine Stillegung, da KWK-Betrieb",1997,in Betrieb,Abfall,Nein,,AVA Velsen,16.0,AVA Velsen GmbH,--
BNA1245,"Keine Stillegung, da KWK-Betrieb",1981,in Betrieb,Laufwasser,Nein,,Schwabstadl,12.0,E.ON Kraftwerke GmbH,--
BNA1246,"Keine Stillegung, da KWK-Betrieb",1980,in Betrieb,Laufwasser,Nein,,Scheuring,12.2,E.ON Kraftwerke GmbH,--
BNA1247,"Keine Stillegung, da KWK-Betrieb",1983,in Betrieb,Laufwasser,Nein,,Unterbergen,12.4,E.ON Kraftwerke GmbH,--
BNA1248,Von der BNetzA Terminiert,1969,in Betrieb,Erdgas,Ja,,UPM Schongau,45.0,UPM GmbH,2015
BNA1249,,1989,in Betrieb,"Sonstige Energieträger
(nicht erneuerbar) ",Ja,,UPM Schongau,6.0,UPM GmbH,
BNA1251,"Keine Stillegung, da KWK-Betrieb",1960,in Betrieb,Laufwasser,Nein,,Dornau,16.6,E.ON Kraftwerke GmbH,--
BNA1254,"Keine Stillegung, da KWK-Betrieb",1982,in Betrieb,Abfall,Ja,,Müllkraftwerk Schwandorf,54.0,Zweckverband Müllverwertung Schwandorf,--
BNA1255,"Keine Stillegung, da KWK-Betrieb",2011,in Betrieb,Abfall,Ja,,Kraftwerk Schwedt GmbH & Co.KG,28.9,Kraftwerk Schwedt GmbH & Co. KG,--
BNA1256,"Keine Stillegung, da KWK-Betrieb",2009,in Betrieb,Biomasse,Ja,,UPM Schwedt,13.3,UPM GmbH Werk Schwedt,--
BNA1260,Berechneter Zeitpunkt der Stillegung,2013,in Betrieb,Erdgas,Ja,,Heizkraftwerk Sindelfingen,95.0,Daimler AG,--
BNA1261,"Keine Stillegung, da KWK-Betrieb",1978,in Betrieb,Abfall,Ja,,nan,16.4,EEW Energy from Waste Stapelfeld GmbH,--
BNA1262,"Keine Stillegung, da KWK-Betrieb",2008,in Betrieb,Abfall,Ja,,"EVZA Energie- und Verwertungszentrale GmbH, Anhalt",24.0,"EVZA Energie- und Verwertungszentrale GmbH, Anhalt",--
BNA1263,"Keine Stillegung, da KWK-Betrieb",1924,in Betrieb,Laufwasser,Nein,,Mühltal,11.2,E.ON Kraftwerke GmbH,--
BNA1264,Berechneter Zeitpunkt der Stillegung,1995,in Betrieb,Erdgas,Ja,,HKW Bohrhügel,13.5,Stadtwerke Suhl/Zella-Mehlis GmbH,--
BNA1265,"Keine Stillegung, da KWK-Betrieb",1923,in Betrieb,Laufwasser,Nein,,Tannheim,12.3,EnBW Energie Baden-Württemberg AG,--
BNA1267,"Keine Stillegung, da KWK-Betrieb",1951,in Betrieb,Laufwasser,Nein,,Uppenborn 2,18.0,Stadtwerke München GmbH,--
BNA1269,"Keine Stillegung, da KWK-Betrieb",1961,in Betrieb,Laufwasser,Nein,,Trier,18.8,RWE Innogy GmbH,--
BNA1271,Berechneter Zeitpunkt der Stillegung,1965,in Betrieb,Erdgas,Ja,,Unterbreizbach,33.6,K+S AG,--
BNA1273,"Keine Stillegung, da KWK-Betrieb",1955,in Betrieb,Laufwasser,Nein,,Obernach,12.8,E.ON Kraftwerke GmbH,--
BNA1274,"Keine Stillegung, da KWK-Betrieb",1988,in Betrieb,Laufwasser,Nein,,Ettling,12.6,E.ON Kraftwerke GmbH,--
BNA1279,Berechneter Zeitpunkt der Stillegung,1995,in Betrieb,Erdgas,Ja,,Gasturbine,51.9,Basell Polyolefine GmbH,--
BNA1280,Berechneter Zeitpunkt der Stillegung,1962,in Betrieb,Mineralölprodukte,Ja,,Kraftwerk,66.3,Basell Polyolefine GmbH,2007
BNA1284,Berechneter Zeitpunkt der Stillegung,1991,in Betrieb,Erdgas,Ja,,Co-Generation,11.5,Grace GmbH & Co. KG ,--
BNA1285,Berechneter Zeitpunkt der Stillegung,1974,in Betrieb,Erdgas,Ja,,Sigmundshall,19.0,K+S AG,--
BNA1286,"Keine Stillegung, da KWK-Betrieb",2007,in Betrieb,Abfall,Ja,,Restabfallbehandlungsanlage,11.2,Zweckverband für Abfallwirtschaft Südwestthüringen (ZASt),--
BNA1287,"Keine Stillegung, da KWK-Betrieb",1964,in Betrieb,Laufwasser,Nein,,Zeltingen,13.6,RWE Innogy GmbH,--
BNA1289,"Keine Stillegung, da KWK-Betrieb",1981,in Betrieb,Abfall,Ja,,AMK - Abfallentsorgungsgesellschaft des Märkischen Kreises mbH,12.61,AMK - Abfallentsorgungsgesellschaft des Märkischen Kreises mbH,--
BNA1291,"Keine Stillegung, da KWK-Betrieb",2009,in Betrieb,Abfall,Ja,,IHKW Andernach,12.5,IHKW Industrieheizkraftwerk Andernach GmbH,--
BNA1292a,Berechneter Zeitpunkt der Stillegung,1983,in Betrieb,Erdgas,Ja,,IHKW Heidenheim,11.1,Voith Dienstleistungen und Grundstücks GmbH & Co. KG,--
BNA1292b,Berechneter Zeitpunkt der Stillegung,2000,in Betrieb,Erdgas,Ja,,IHKW Heidenheim,15.4,Voith Dienstleistungen und Grundstücks GmbH & Co. KG,--
BNA1293a,Berechneter Zeitpunkt der Stillegung,1995,vorläufig stillgelegt,Braunkohle,ja,,Kraftwerk,10.0,Martinswerk GmbH,2040
BNA1293b,Berechneter Zeitpunkt der Stillegung,1995,in Betrieb,Braunkohle,Ja,,Kraftwerk,10.0,Martinswerk GmbH,2040
BNA1293c,Berechneter Zeitpunkt der Stillegung,1995,vorläufig stillgelegt,Erdgas,Ja,,Kraftwerk,3.0,Martinswerk GmbH,--
BNA1293d,Berechneter Zeitpunkt der Stillegung,1995,vorläufig stillgelegt,Mineralölprodukte,Nein,,Kraftwerk,0.76,Martinswerk GmbH,2040
BNA1294,Berechneter Zeitpunkt der Stillegung,1993,in Betrieb,Mineralölprodukte,Ja,,EEV,38.0,Shell Deutschland Oil GmbH,2038
BNA1295,"Keine Stillegung, da KWK-Betrieb",1993,in Betrieb,Abfall,ja,,AVA GmbH,10.0,AVA Abfallverwertung Augsburg GmbH,--
BNA1315,Berechneter Zeitpunkt der Stillegung,2001,in Betrieb,Erdgas,Ja,,HKW,25.0,Universitätsklinikum Freiburg AdöR,--
BNA1316,"Keine Stillegung, da KWK-Betrieb",1976,in Betrieb,Abfall,Ja,,Müllheizkraftwerk,30.0,AWG Abfallwirtschaftsgesellschaft mbH Wuppertal,--
BNA1327a,Berechneter Zeitpunkt der Stillegung,1992,in Betrieb,Erdgas,Ja,,Energiezentrale 1992,11.06,Flughafen München GmbH,--
BNA1327b,Berechneter Zeitpunkt der Stillegung,2003,in Betrieb,Erdgas,Ja,,Erweiterung Energiezentrale 2003,7.44,Flughafen München GmbH,--
BNA1328,Berechneter Zeitpunkt der Stillegung,2001,in Betrieb,Erdgas,Ja,,HBB,24.0,HBB Heizkraftwerk Bauernfeind Betreibergesellschaft mbh,--
BNA1329,Berechneter Zeitpunkt der Stillegung,1993,in Betrieb,Erdgas,Ja,,K&N PFK AG EV,12.75,Kübler & Niethammer Papierfabrik Kriebstein AG,--
BNA1330,,2010,in Betrieb,"Sonstige Energieträger
(nicht erneuerbar) ",Ja,,Steinbeis Energie,17.0,Steinbeis Energie GmbH,
BNA1332,Berechneter Zeitpunkt der Stillegung,1995,in Betrieb,Erdgas,Ja,,Sasol Kraftwerk,22.3,Sasol Solvents Germany GmbH,--
BNA1333a,Berechneter Zeitpunkt der Stillegung,1988,in Betrieb,Erdgas,Ja,,HKW Pfaffenwald,12.2,Universität Stuttgart,--
BNA1333b,Berechneter Zeitpunkt der Stillegung,1969,in Betrieb,Erdgas,Ja,,HKW Pfaffenwald,11.3,Universität Stuttgart,--
BNA1333c,Berechneter Zeitpunkt der Stillegung,1968,in Betrieb,Erdgas,Ja,,HKW Pfaffenwald,11.6,Universität Stuttgart,--
BNA1334,Berechneter Zeitpunkt der Stillegung,2002,in Betrieb,Erdgas,Ja,,KWK-Anlage,14.8,CR3-Kaffeeveredelung M. Hermsen GmbH,--
BNA1335a,Berechneter Zeitpunkt der Stillegung,1989,in Betrieb,Erdgas,Ja,,PKV Kraftwerk,58.1,Papier- u. Kartonfabrik Varel GmbH & Co. KG,--
BNA1335b,Berechneter Zeitpunkt der Stillegung,1968,in Betrieb,Erdgas,Ja,,PKV Kraftwerk,0.48,Papier- u. Kartonfabrik Varel GmbH & Co. KG,--
BNA1336,Berechneter Zeitpunkt der Stillegung,1948,in Betrieb,Erdgas,Ja,,Holthausen,84.0,Henkel AG & Co.KGaA,--
BNA1337d,Berechneter Zeitpunkt der Stillegung,1991,in Betrieb,Mineralölprodukte,nan,,Notstromdiesel,0.52,DS Smith Paper Deutschland GmbH,2036
BNA1337e,Berechneter Zeitpunkt der Stillegung,2013,in Betrieb,Erdgas,Ja,GuD,GuD-Anlage,47.0,DS Smith Paper Deutschland GmbH,--
BNA1338,Von der BNetzA Terminiert,1978,in Betrieb,Mineralölprodukte,Ja,,Spitzenkraftwerk,19.0,Eurowatt Spitzenkraft GmbH,2015
BNA1396,Berechneter Zeitpunkt der Stillegung,1998,in Betrieb,Erdgas,Ja,,EVC / GLOBALFOUNDRIES,34.3,Energieversorgungscenter Dresden-Wilschdorf GmbH & Co. KG,--
BNA1397a,,1963,in Betrieb,"Sonstige Energieträger
(nicht erneuerbar) ",Ja,,O10,12.4,Ineos Manufacturing Deutschland GmbH,
BNA1397b,,1963,in Betrieb,"Sonstige Energieträger
(nicht erneuerbar) ",Ja,,O10,15.0,Ineos Manufacturing Deutschland GmbH,
BNA1397c,,1963,in Betrieb,"Sonstige Energieträger
(nicht erneuerbar) ",Ja,,O10,12.4,Ineos Manufacturing Deutschland GmbH,
BNA1397d,,1966,in Betrieb,"Sonstige Energieträger
(nicht erneuerbar) ",Nein,,O10,10.0,Ineos Manufacturing Deutschland GmbH,
BNA1397e,,1967,in Betrieb,"Sonstige Energieträger
(nicht erneuerbar) ",Ja,,O10,30.0,Ineos Manufacturing Deutschland GmbH,
BNA1399,,1929,in Betrieb,"Sonstige Energieträger
(nicht erneuerbar) ",Ja,,Oxea GmbH,38.0,Oxea GmbH,
BNA1400a,Berechneter Zeitpunkt der Stillegung,1993,in Betrieb,Braunkohle,Ja,,EZ1,18.5,"Südzucker AG Mannheim/Ochsenfurt, Werk Zeitz",2038
BNA1400b,Berechneter Zeitpunkt der Stillegung,1993,in Betrieb,Mineralölprodukte,Ja,,EZ1,18.5,"Südzucker AG Mannheim/Ochsenfurt, Werk Zeitz",2038
BNA1403,Berechneter Zeitpunkt der Stillegung,1995,in Betrieb,Erdgas,Ja,,Steinitz,11.35,GDF SUEZ E&P DEUTSCHLAND GMBH,--
BNA1404,Berechneter Zeitpunkt der Stillegung,2012,in Betrieb,Braunkohle,Nein,,Boxberg,640.0,Vattenfall Europe Generation AG,2057
BNA1405a,Berechneter Zeitpunkt der Stillegung,1978,in Betrieb,Steinkohle,Ja,,Heizkraftwerk Magirusstraße,20.7,Fernwärme Ulm GmbH,2023
BNA1406,Berechneter Zeitpunkt der Stillegung,1992,in Betrieb,Erdgas,Ja,,FS-Karton,18.879,FS-Karton GmbH,--
BNA1407,Berechneter Zeitpunkt der Stillegung,2007,in Betrieb,Erdgas,Ja,,STW,13.5,Schoeller Technocell GmbH & Co. KG,--
BNA1408,Berechneter Zeitpunkt der Stillegung,1980,in Betrieb,Erdgas,Ja,,Heizkraftwerk Evonik Rheinfelden,16.0,Evonik Degussa GmbH,--
BNA1409,,2010,in Betrieb,"Sonstige Energieträger
(nicht erneuerbar) ",Ja,,DK Kraftwerk,21.0,DK Recycling und Roheisen GmbH,
BNA1437,Berechneter Zeitpunkt der Stillegung,2012,in Betrieb,Erdgas,Ja,,KWK AOS GmbH,30.72,Aluminium Oxid Stade GmbH,--
BNA1447a,"Keine Stillegung, da KWK-Betrieb",1990,in Betrieb,Abfall,Ja,,nan,11.9,Evonik Industries AG (Werk Worms),--
BNA1447b,"Keine Stillegung, da KWK-Betrieb",2011,in Betrieb,Abfall,Nein,,nan,6.9,Evonik Industries AG (Werk Worms),--
BNA1448,"Keine Stillegung, da KWK-Betrieb",1999,in Betrieb,Abfall,Ja,,AHKW Neunkirchen,11.6,EEW Energy from Waste Saarbrücken GmbH,--
BNA1449a,"Keine Stillegung, da KWK-Betrieb",1984,in Betrieb,Abfall,Ja,,Turbosatz 1,8.7,Zweckverband Abfallwirtschaft Raum Würzburg,--
BNA1449b,"Keine Stillegung, da KWK-Betrieb",1998,in Betrieb,Abfall,nan,,Turbosatz 2,12.0,Zweckverband Abfallwirtschaft Raum Würzburg,--
BNA1450,Berechneter Zeitpunkt der Stillegung,2000,in Betrieb,Erdgas,Ja,,GUD-Anlage DREWSEN,13.0,DREWSEN SPEZIALPAPIERE GmbH & Co.KG,--
BNA1451,Berechneter Zeitpunkt der Stillegung,1962,in Betrieb,Braunkohle,Ja,,HKW Sachtleben,27.5,Sachtleben Chemie GmbH,2007
BNA1458,Berechneter Zeitpunkt der Stillegung,1975,in Betrieb,Erdgas,Ja,,nan,27.95,Buchmann GmbH,--
BNA1461,Berechneter Zeitpunkt der Stillegung,2005,in Betrieb,Braunkohle,Ja,,nan,17.5,CropEnergies Bioethanol GmbH Zeitz,2050
BNA1463,Berechneter Zeitpunkt der Stillegung,1978,in Betrieb,Erdgas,Ja,,nan,19.49,Smurfit Kappa Herzberger Papierfabrik GmbH,--
BNA1465a,,2009,in Betrieb,"Sonstige Energieträger
(nicht erneuerbar) ",Ja,,EBS-Kraftwerk Witzenhausen,28.0,B+T Energie GmbH,
BNA1465b,Berechneter Zeitpunkt der Stillegung,1975,in Betrieb,Erdgas,Ja,,Gaskraftwerk,13.2,DS Smith Paper Deutschland GmbH,--
BNA1466,"Keine Stillegung, da KWK-Betrieb",1920,in Betrieb,Laufwasser,Nein,,Kraftwerk 3,18.5,Alzkraftwerke Heider GmbH,--
BNA1467,Berechneter Zeitpunkt der Stillegung,1986,in Betrieb,Steinkohle,Ja,,nan,18.5,Koehler Energie GmbH,2031
BNA1486,Berechneter Zeitpunkt der Stillegung,1979,in Betrieb,Braunkohle,Ja,,Grubenheizkraftwerk,49.0,ROMONTA GmbH,2024
BNA1492b,Berechneter Zeitpunkt der Stillegung,2012,in Betrieb,Erdgas,Ja,,Kraftwerk 2,8.0,Papierfabrik Adolf Jass Schwarza GmbH,--
BNA1498,Berechneter Zeitpunkt der Stillegung,1953,Sonderfall,Erdgas,Ja,,Werk Nordstemmen,30.6,"Nordzucker AG, Werk Nordstemmen",--
BNA1499,Berechneter Zeitpunkt der Stillegung,2000,Sonderfall,Erdgas,Ja,,Werk Clauen,15.8,"Nordzucker AG, Werk Clauen",--
BNA1500,Berechneter Zeitpunkt der Stillegung,1990,Sonderfall,Steinkohle,Ja,,Werk Uelzen,40.0,"Nordzucker AG, Werk Uelzen",2035
BNA1502,Berechneter Zeitpunkt der Stillegung,2013,in Betrieb,Erdgas,Ja,,Heizkraftwerk Krefeld,12.6,SWK ENERGIE GmbH,--
BNA1503,Berechneter Zeitpunkt der Stillegung,2012,in Betrieb,Erdgas,Ja,,BHKW H.120,16.9,Daimler AG,--
BNA1504,Berechneter Zeitpunkt der Stillegung,2013,in Betrieb,Erdgas,Ja,,BHKW,13.0,Daimler AG,--
BNA1505,Berechneter Zeitpunkt der Stillegung,1993,in Betrieb,Erdgas,Ja,,HKW Wiesengrund,22.1,ENAG/Maingas Energieanlagen GmbH,--
BNA1506,Berechneter Zeitpunkt der Stillegung,1994,Sonderfall,Erdgas,Ja,,Werk Klein Wanzleben,23.4,"Nordzucker AG, Werk Klein Wanzleben",--
BNA1507,Berechneter Zeitpunkt der Stillegung,2006,in Betrieb,Erdgas,Ja,,nan,10.7,"Michelin Reifenwerke AG & Co. KGaA 
Standort Bad Kreuznach",--
BNA1508,Berechneter Zeitpunkt der Stillegung,2013,in Betrieb,Steinkohle,Ja,,Trianel Kohlekraftwerk Lünen,746.0,Trianel Kohlekraftwerk Lünen GmbH & Co. KG,2058
BNA1509,Berechneter Zeitpunkt der Stillegung,1996,in Betrieb,Erdgas,Ja,,BP Werk Lingen,66.0,BP Europa SE,--
BNA1510,"Keine Stillegung, da KWK-Betrieb",2013,in Betrieb,Abfall,Ja,,Hamburger Rieger,18.7,Spreestromerzeugungs GmbH,--
BNA1511a,Berechneter Zeitpunkt der Stillegung,1983,in Betrieb,Braunkohle,Ja,,Kessel 4,9.3,"Papierfabrik Schoellershammer 
Heinrich August Schoeller Söhne GmbH & Co. KG",2028
BNA1511b,Berechneter Zeitpunkt der Stillegung,1967,in Betrieb,Erdgas,Ja,,Kessel 2,2.9,"Papierfabrik Schoellershammer 
Heinrich August Schoeller Söhne GmbH & Co. KG",--
BNA1516,Berechneter Zeitpunkt der Stillegung,1992,in Betrieb,Erdgas,Ja,,HKW 1 Werk Offstein,30.0,Südzucker AG Mannheim/Ochsenfurt,--
BNA1520,"Keine Stillegung, da KWK-Betrieb",2014,in Betrieb,Biomasse,Ja,,Biomasseheizkraftwerk Wiesbaden,10.5,ESWE BioEnergie GmH,--
BNA1523a,Berechneter Zeitpunkt der Stillegung,1992,in Betrieb,Erdgas,Ja,,Gemeinschaftskraftwerk Weig,42.0,Moritz J. Weig GmbH & Co KG,--
BNA1523b,Berechneter Zeitpunkt der Stillegung,2013,in Betrieb,Erdgas,Ja,,Gemeinschaftskraftwerk Weig,,Moritz J. Weig GmbH & Co KG,--
BNA1523c,,1992,in Betrieb,"Sonstige Energieträger
(nicht erneuerbar) ",Ja,,Gemeinschaftskraftwerk Weig,,Moritz J. Weig GmbH & Co KG,
BNA1523d,Berechneter Zeitpunkt der Stillegung,1971,vorläufig stillgelegt,Erdgas,Ja,,Gemeinschaftskraftwerk Weig,,Moritz J. Weig GmbH & Co KG,--
BNA1524,Berechneter Zeitpunkt der Stillegung,1912,in Betrieb,Erdgas,Ja,,Heizkraftwerk Bomlitz,22.1,Dow Wolff Cellulosics GmbH,--
BNA1526,Berechneter Zeitpunkt der Stillegung,1962,in Betrieb,Mineralölprodukte,Ja,,Kraftwerk Raffinerie Heide,44.5,Raffinerie Heide GmbH,2007
BNA1528,Berechneter Zeitpunkt der Stillegung,1990,in Betrieb,Erdgas,Ja,,nan,13.2,Stadtwerke Kempen GmbH,--
BNA1531,Berechneter Zeitpunkt der Stillegung,2014,in Betrieb,Erdgas,Ja,,Industriekraftwerk Greifswald,37.7,Industriekraftwerk Greifswald GmbH,--
BNA1541,Berechneter Zeitpunkt der Stillegung,2013,in Betrieb,Erdgas,Ja,,HKW Freiberg,13.383,Freiberger Erdgas GmbH,--
BNA1553,,1964,in Betrieb,"Sonstige Energieträger
(nicht erneuerbar) ",Ja,,nan,23.3,Gunvor Raffinerie Ingolstadt GmbH,
BNA1556,Berechneter Zeitpunkt der Stillegung,2014,in Betrieb,Erdgas,Ja,,nan,35.5,Sachsenmilch Leppersdorf GmbH,--
BNA0011,Berechneter Zeitpunkt der Stillegung,2009,Endgültig Stillgelegt 2012,Steinkohle,Ja,,Papierfabrik Albbruck,28.0,Papierfabrik Albbruck GmbH,2054
BNA0059a,Berechneter Zeitpunkt der Stillegung,1961,Endgültig Stillgelegt 2013,Erdgas,Ja,,HKW Kassel,12.2,Volkswagen AG,--
BNA0118,Berechneter Zeitpunkt der Stillegung,1969,Endgültig Stillgelegt 2012,Erdgas,Ja,,Heizkraftwerk Süd,14.4,Energie- und Wasserversorgung Bonn/Rhein-Sieg GmbH,--
BNA0143,,1974,Endgültig Stillgelegt 2013,"Sonstige Energieträger
(nicht erneuerbar) ",Nein,,KW Mittelsbüren,110.0,swb Erzeugung GmbH & Co. KG,
BNA0187,Berechneter Zeitpunkt der Stillegung,1964,Endgültig Stillgelegt 2013,Steinkohle,Ja,,Datteln,95.0,E.ON Kraftwerke GmbH,2009
BNA0188,Berechneter Zeitpunkt der Stillegung,1964,Endgültig Stillgelegt 2013,Steinkohle,Ja,,Datteln,95.0,E.ON Kraftwerke GmbH,2009
BNA0189,Berechneter Zeitpunkt der Stillegung,1969,Endgültig Stillgelegt 2013,Steinkohle,Nein,,Datteln,113.0,E.ON Kraftwerke GmbH,2014
BNA0212,Berechneter Zeitpunkt der Stillegung,1965,Endgültig Stillgelegt 2012,Steinkohle,Ja,,HKW II/B,133.0,Stadtwerke Duisburg AG,2010
BNA0215,Berechneter Zeitpunkt der Stillegung,1959,Endgültig Stillgelegt 2014,Steinkohle,Nein,,KW Walsum,129.0,Steag GmbH,2004
BNA0269,Berechneter Zeitpunkt der Stillegung,1974,Endgültig Stillgelegt 2012,Mineralölprodukte,Ja,,HKW Flensburg,30.0,Stadtwerke Flensburg GmbH,2019
BNA0302,Berechneter Zeitpunkt der Stillegung,1957,Endgültig Stillgelegt 2011,Braunkohle,Nein,,Frimmersdorf,129.0,RWE Power AG,2002
BNA0303,Berechneter Zeitpunkt der Stillegung,1957,Endgültig Stillgelegt 2011,Braunkohle,Nein,,Frimmersdorf,130.0,RWE Power AG,2002
BNA0304,Berechneter Zeitpunkt der Stillegung,1960,Endgültig Stillgelegt 2011,Braunkohle,Nein,,Frimmersdorf,124.0,RWE Power AG,2005
BNA0305,Berechneter Zeitpunkt der Stillegung,1959,Endgültig Stillgelegt 2012,Braunkohle,Nein,,Frimmersdorf,130.0,RWE Power AG,2004
